Series,Body,Country,L1X,L2X,L3X,L4,Comments,AuthorX,Date,AttachmentX,EventsX,Expired
Assessment,Damage Assessment,LK,Ermera,Atsabe,Laubono,,,adriana.macedo@redcross.tl,5/05/10,,Flood Manufahi,N
Assessment,Community Needs Assessment,LK,Ermera,Atsabe,Leimea Leten,,,jose.soares@oxfam.org.tl,15/04/10,,Flood Manufahi,N
Assessment,Area Assessment ,LK,Ermera,Atsabe,Obulo,,,adriana.macedo@redcross.tl,10/04/10,,Flood Manufahi,N
Assessment,Damage Assessment,LK,Ermera,Atsabe,Paramin,,,eduardo.dossantos@tl.mercycorps.org,20/04/10,,Flood Manufahi,N
Assessment,Community Needs Assessment,LK,Ermera,Atsabe,Tiarlelo,,,jose.soares@oxfam.org.tl,1/05/10,,Flood Manufahi,N
Assessment,Area Assessment ,LK,Baucau,Baguia,Afaloicai,,,adriana.macedo@redcross.tl,5/05/10,,Flood Manufahi,N
Assessment,Damage Assessment,LK,Baucau,Baguia,Alaua Craic,,,liliana.otilia@mss.gov.tl,15/04/10,,Flood Manufahi,N
Assessment,Community Needs Assessment,LK,Baucau,Baguia,Alaua Leten,,,eduardo.dossantos@tl.mercycorps.org,10/04/10,,Flood Manufahi,N
Assessment,Area Assessment ,LK,Baucau,Baguia,Defa Uassi,,,jose.soares@oxfam.org.tl,20/04/10,,Flood Manufahi,N
Assessment,Damage Assessment,LK,Baucau,Baguia,Haeconi,,,jose.soares@oxfam.org.tl,1/05/10,,Flood Manufahi,N
Assessment,Community Needs Assessment,LK,Baucau,Baguia,Lari Sula,,,eduardo.dossantos@tl.mercycorps.org,5/05/10,,Flood Manufahi,N
Assessment,Area Assessment ,LK,Baucau,Baguia,Lavateri,,,liliana.otilia@mss.gov.tl,15/04/10,,Flood Manufahi,N
Incident,Flooding,LK,Baucau,Baguia,Osso-Huna,,,adriana.macedo@redcross.tl,10/04/10,,Flood Manufahi,N
Incident,Landslide,LK,Baucau,Baguia,Samalari,,,jose.soares@oxfam.org.tl,20/04/10,,Flood Manufahi,N
Incident,Houses Destroyied,LK,Bobonaro,Balibo,Balibo Vila,,,adriana.macedo@redcross.tl,1/05/10,,Flood Manufahi,N
Incident,Flooding,LK,Bobonaro,Balibo,Batugade,,,eduardo.dossantos@tl.mercycorps.org,5/05/10,,Flood Manufahi,N
Incident,Landslide,LK,Bobonaro,Balibo,Cowa,,,jose.soares@oxfam.org.tl,15/04/10,,Flood Manufahi,N
Incident,Houses Destroyied,LK,Bobonaro,Balibo,Leohito,,,adriana.macedo@redcross.tl,10/04/10,,Flood Manufahi,N
Incident,Flooding,LK,Bobonaro,Balibo,Leolima,,,liliana.otilia@mss.gov.tl,20/04/10,,Flood Manufahi,N
Incident,Landslide,LK,Bobonaro,Balibo,Sanirin,,,eduardo.dossantos@tl.mercycorps.org,1/05/10,,Flood Manufahi,N
Incident,Houses Destroyied,LK,Manatuto,Barique/Natarbora,Abat Oan,,,jose.soares@oxfam.org.tl,5/05/10,,Flood Manufahi,N
Incident,Flooding,LK,Manatuto,Barique/Natarbora,Aubeon,,,jose.soares@oxfam.org.tl,15/04/10,,Flood Manufahi,N
Incident,Landslide,LK,Manatuto,Barique/Natarbora,Barique,,,eduardo.dossantos@tl.mercycorps.org,10/04/10,,Flood Manufahi,N
Incident,Houses Destroyied,LK,Manatuto,Barique/Natarbora,Manehat,,,liliana.otilia@mss.gov.tl,20/04/10,,Flood Manufahi,N
Alert,Heavy Rains Due,LK,Manatuto,Barique/Natarbora,Uma Boco,,,liliana.otilia@mss.gov.tl,1/07/09,,Drought Tibar,Y
Alert,Heavy Flooding in Area,LK,Baucau,Baucau,Bahu,,,liliana.otilia@mss.gov.tl,2/07/09,,Drought Tibar,Y
Alert,More rain expected,LK,Baucau,Baucau,Bucoli,,,liliana.otilia@mss.gov.tl,3/07/09,,Drought Tibar,Y
Alert,High winds,LK,Baucau,Baucau,Buibau,,,liliana.otilia@mss.gov.tl,4/07/09,,Drought Tibar,Y
Alert,More rain expected,LK,Baucau,Baucau,Buruma,,,liliana.otilia@mss.gov.tl,5/07/09,,Drought Tibar,Y
Report,Situational Report,LK,Baucau,Baucau,Caibada,,,adriana.macedo@redcross.tl,6/07/09,,Drought Tibar,Y
Report,Situational Report,LK,Baucau,Baucau,Gariuai,,,jose.soares@oxfam.org.tl,7/07/09,,Drought Tibar,Y
Report,Situational Report,LK,Baucau,Baucau,Samalari,,,adriana.macedo@redcross.tl,8/07/09,,Drought Tibar,Y
Report,Situational Report,LK,Baucau,Baucau,Seical,,,eduardo.dossantos@tl.mercycorps.org,9/07/09,,Drought Tibar,Y
Report,Situational Report,LK,Baucau,Baucau,Triloca,,,jose.soares@oxfam.org.tl,10/07/09,,Drought Tibar,Y
Report,Situational Report,LK,Baucau,Baucau,Trilolo,,,adriana.macedo@redcross.tl,11/07/09,,Drought Tibar,Y
Report,Situational Report,LK,Baucau,Baucau,Wailili,,,liliana.otilia@mss.gov.tl,12/07/09,,Drought Tibar,Y
Report,Situational Report,LK,Liquiçá,Bazartete,Fahilebo,,,eduardo.dossantos@tl.mercycorps.org,13/07/09,,Drought Tibar,Y
Report,Situational Report,LK,Liquiçá,Bazartete,Fatumasi,,,jose.soares@oxfam.org.tl,14/07/09,,Drought Tibar,Y
Report,Situational Report,LK,Liquiçá,Bazartete,Lauhata,,,jose.soares@oxfam.org.tl,15/07/09,,Drought Tibar,Y
Report,Situational Report,LK,Liquiçá,Bazartete,Leorema,,,eduardo.dossantos@tl.mercycorps.org,16/07/09,,Drought Tibar,Y
Report,Drought Tibar Lessons Learnt,LK,Liquiçá,Bazartete,Maumeta,,,liliana.otilia@mss.gov.tl,17/07/09,,Drought Tibar,Y
Assessment,Damage Assessment,LK,Bobonaro,Bobonaro,Lour,,,adriana.macedo@redcross.tl,30/07/09,,Drought Tibar,Y
Assessment,Community Needs Assessment,LK,Bobonaro,Bobonaro,Lourba,,,jose.soares@oxfam.org.tl,31/07/09,,Drought Tibar,Y
Assessment,Area Assessment ,LK,Bobonaro,Bobonaro,Male-Ubu,,,adriana.macedo@redcross.tl,1/08/09,,Drought Tibar,Y
Assessment,Damage Assessment,LK,Bobonaro,Bobonaro,Malilait,,,eduardo.dossantos@tl.mercycorps.org,2/08/09,,Drought Tibar,Y
Assessment,Community Needs Assessment,LK,Bobonaro,Bobonaro,Molop,,,jose.soares@oxfam.org.tl,3/08/09,,Drought Tibar,Y
Assessment,Area Assessment ,LK,Bobonaro,Bobonaro,Oe-Leu,,,adriana.macedo@redcross.tl,4/08/09,,Drought Tibar,Y
Assessment,Damage Assessment,LK,Bobonaro,Bobonaro,Sibuni,,,liliana.otilia@mss.gov.tl,5/08/09,,Drought Tibar,Y
Assessment,Community Needs Assessment,LK,Bobonaro,Bobonaro,Soilesu,,,eduardo.dossantos@tl.mercycorps.org,6/08/09,,Drought Tibar,Y
Assessment,Area Assessment ,LK,Bobonaro,Bobonaro,Tapo,,,jose.soares@oxfam.org.tl,7/08/09,,Drought Tibar,Y
Assessment,Damage Assessment,LK,Bobonaro,Bobonaro,Tebabui,,,jose.soares@oxfam.org.tl,8/08/09,,Drought Tibar,Y
Assessment,Community Needs Assessment,LK,Bobonaro,Cailaco,Atudara,,,eduardo.dossantos@tl.mercycorps.org,9/08/09,,Drought Tibar,Y
Assessment,Area Assessment ,LK,Bobonaro,Cailaco,Dau Udo,,,liliana.otilia@mss.gov.tl,10/08/09,,Drought Tibar,Y
Incident,Flooding,LK,Bobonaro,Cailaco,Goulolo,,,adriana.macedo@redcross.tl,11/08/09,,Drought Tibar,Y
Incident,Landslide,LK,Bobonaro,Cailaco,Guenu Lai,,,jose.soares@oxfam.org.tl,12/08/09,,Drought Tibar,Y
Incident,Houses Destroyied,LK,Bobonaro,Cailaco,Manapa,,,adriana.macedo@redcross.tl,13/08/09,,Drought Tibar,Y
Incident,Flooding,LK,Bobonaro,Cailaco,Meligo,,,eduardo.dossantos@tl.mercycorps.org,14/08/09,,Drought Tibar,Y
Incident,Landslide,LK,Bobonaro,Cailaco,Purugoa,,,jose.soares@oxfam.org.tl,15/08/09,,Drought Tibar,Y
Incident,Houses Destroyied,LK,Bobonaro,Cailaco,Raiheu,,,adriana.macedo@redcross.tl,16/08/09,,Drought Tibar,Y
Incident,Flooding,LK,Dili,Cristo Rei,Balibar,,,liliana.otilia@mss.gov.tl,17/08/09,,Drought Tibar,Y
Incident,Landslide,LK,Dili,Cristo Rei,Becora,,,eduardo.dossantos@tl.mercycorps.org,18/08/09,,Drought Tibar,Y
Incident,Houses Destroyied,LK,Dili,Cristo Rei,Bidau Santana,,,jose.soares@oxfam.org.tl,19/08/09,,Drought Tibar,Y
Incident,Flooding,LK,Dili,Cristo Rei,Camea,,,jose.soares@oxfam.org.tl,20/08/09,,Drought Tibar,Y
Incident,Landslide,LK,Dili,Cristo Rei,Culu Hun,,,eduardo.dossantos@tl.mercycorps.org,21/08/09,,Drought Tibar,Y
Incident,Houses Destroyied,LK,Dili,Cristo Rei,Hera,,,liliana.otilia@mss.gov.tl,22/08/09,,Drought Tibar,Y
Alert,Heavy Rains Due,LK,Dili,Cristo Rei,Meti Aut,,,liliana.otilia@mss.gov.tl,1/06/02,,Dili Tsunami,Y
Alert,Heavy Flooding in Area,LK,Dili,Dom Aleixo,Bairro Pite,,,liliana.otilia@mss.gov.tl,2/06/02,,Dili Tsunami,Y
Alert,More rain expected,LK,Dili,Dom Aleixo,Comoro,,,liliana.otilia@mss.gov.tl,3/06/02,,Dili Tsunami,Y
Alert,High winds,LK,Dili,Dom Aleixo,Fatuhada,,,liliana.otilia@mss.gov.tl,4/06/02,,Dili Tsunami,Y
Alert,More rain expected,LK,Dili,Dom Aleixo,Kampung Alor,,,liliana.otilia@mss.gov.tl,5/06/02,,Dili Tsunami,Y
Report,Situational Report,LK,Ermera,Ermera,Estado,,,adriana.macedo@redcross.tl,6/06/02,,Dili Tsunami,Y
Report,Situational Report,LK,Ermera,Ermera,Humboe,,,jose.soares@oxfam.org.tl,7/06/02,,Dili Tsunami,Y
Report,Situational Report,LK,Ermera,Ermera,Lauala,,,adriana.macedo@redcross.tl,8/06/02,,Dili Tsunami,Y
Report,Situational Report,LK,Ermera,Ermera,Leguimea,,,eduardo.dossantos@tl.mercycorps.org,9/06/02,,Dili Tsunami,Y
Report,Situational Report,LK,Ermera,Ermera,Mirtutu,,,jose.soares@oxfam.org.tl,10/06/02,,Dili Tsunami,Y
Report,Situational Report,LK,Ermera,Ermera,Poetete,,,adriana.macedo@redcross.tl,11/06/02,,Dili Tsunami,Y
Report,Situational Report,LK,Ermera,Ermera,Ponilala,,,liliana.otilia@mss.gov.tl,12/06/02,,Dili Tsunami,Y
Report,Situational Report,LK,Ermera,Ermera,Raimerhei,,,eduardo.dossantos@tl.mercycorps.org,13/06/02,,Dili Tsunami,Y
Report,Situational Report,LK,Ermera,Ermera,Riheu,,,jose.soares@oxfam.org.tl,14/06/02,,Dili Tsunami,Y
Report,Situational Report,LK,Ermera,Ermera,Talimoro,,,jose.soares@oxfam.org.tl,15/06/02,,Dili Tsunami,Y
Report,Situational Report,LK,Manufahi,Fatuberliu,Bubususo,,,eduardo.dossantos@tl.mercycorps.org,16/06/02,,Dili Tsunami,Y
Report,Dili Tsunami Lessons Learnt,LK,Manufahi,Fatuberliu,Caicasa,,,liliana.otilia@mss.gov.tl,17/06/02,,Dili Tsunami,Y
Assessment,Damage Assessment,LK,Ermera,Hatolia,Ailelo,,,adriana.macedo@redcross.tl,30/06/02,,Dili Tsunami,Y
Assessment,Community Needs Assessment,LK,Ermera,Hatolia,Asulau,,,jose.soares@oxfam.org.tl,1/07/02,,Dili Tsunami,Y
Assessment,Area Assessment ,LK,Ermera,Hatolia,Coliate-Leotelo,,,adriana.macedo@redcross.tl,2/07/02,,Dili Tsunami,Y
Assessment,Damage Assessment,LK,Ermera,Hatolia,Fatubessi,,,eduardo.dossantos@tl.mercycorps.org,3/07/02,,Dili Tsunami,Y
Assessment,Community Needs Assessment,LK,Ermera,Hatolia,Fatubolu,,,jose.soares@oxfam.org.tl,4/07/02,,Dili Tsunami,Y
Assessment,Area Assessment ,LK,Ermera,Hatolia,Hatolia,,,adriana.macedo@redcross.tl,5/07/02,,Dili Tsunami,Y
Assessment,Damage Assessment,LK,Ermera,Hatolia,Leimea Sorimbalu,,,liliana.otilia@mss.gov.tl,6/07/02,,Dili Tsunami,Y
Assessment,Community Needs Assessment,LK,Ermera,Hatolia,Leimeacraic,,,eduardo.dossantos@tl.mercycorps.org,7/07/02,,Dili Tsunami,Y
Assessment,Area Assessment ,LK,Ermera,Hatolia,Lissapat,,,jose.soares@oxfam.org.tl,8/07/02,,Dili Tsunami,Y
Assessment,Damage Assessment,LK,Ermera,Hatolia,Manusae,,,jose.soares@oxfam.org.tl,9/07/02,,Dili Tsunami,Y
Assessment,Community Needs Assessment,LK,Ermera,Hatolia,Mau-Ubu,,,eduardo.dossantos@tl.mercycorps.org,10/07/02,,Dili Tsunami,Y
Assessment,Area Assessment ,LK,Ermera,Hatolia,Samara,,,liliana.otilia@mss.gov.tl,11/07/02,,Dili Tsunami,Y
Incident,Flooding,LK,Ermera,Hatolia,Urahou,,,adriana.macedo@redcross.tl,12/07/02,,Dili Tsunami,Y
Incident,Landslide,LK,Ainaro,Hatu-Builico,Mau-Chiga,,,jose.soares@oxfam.org.tl,13/07/02,,Dili Tsunami,Y
Incident,Houses Destroyied,LK,Ainaro,Hatu-Builico,Mulo,,,adriana.macedo@redcross.tl,14/07/02,,Dili Tsunami,Y
Incident,Flooding,LK,Ainaro,Hatu-Builico,Nuno-Mogue,,,eduardo.dossantos@tl.mercycorps.org,15/07/02,,Dili Tsunami,Y
Incident,Landslide,LK,Ainaro,Hatu-Udo,Foho-ai-Lico,,,jose.soares@oxfam.org.tl,16/07/02,,Dili Tsunami,Y
Incident,Houses Destroyied,LK,Ainaro,Hatu-Udo,Leolima,,,adriana.macedo@redcross.tl,17/07/02,,Dili Tsunami,Y
Incident,Flooding,LK,Lautém,Iliomar,Ailebere,,,liliana.otilia@mss.gov.tl,18/07/02,,Dili Tsunami,Y
Incident,Landslide,LK,Lautém,Iliomar,Cainliu,,,eduardo.dossantos@tl.mercycorps.org,19/07/02,,Dili Tsunami,Y
Incident,Houses Destroyied,LK,Lautém,Iliomar,Fuat,,,jose.soares@oxfam.org.tl,20/07/02,,Dili Tsunami,Y
Incident,Flooding,LK,Lautém,Iliomar,Iliomar I,,,jose.soares@oxfam.org.tl,21/07/02,,Dili Tsunami,Y
Incident,Landslide,LK,Lautém,Iliomar,Iliomar II,,,eduardo.dossantos@tl.mercycorps.org,22/07/02,,Dili Tsunami,Y
Incident,Houses Destroyied,LK,Lautém,Iliomar,Tirilolo,,,liliana.otilia@mss.gov.tl,23/07/02,,Dili Tsunami,Y
Alert,Heavy Rains Due,LK,Manatuto,Laclo,Hohorai,,,liliana.otilia@mss.gov.tl,1/08/03,,Same Earthquake,Y
Alert,Heavy Flooding in Area,LK,Manatuto,Laclo,Lacumesac,,,liliana.otilia@mss.gov.tl,2/08/03,,Same Earthquake,Y
Alert,More rain expected,LK,Manatuto,Laclo,Uma Naruc,,,liliana.otilia@mss.gov.tl,3/08/03,,Same Earthquake,Y
Alert,High winds,LK,Manatuto,Laclo,Umacaduac,,,liliana.otilia@mss.gov.tl,4/08/03,,Same Earthquake,Y
Alert,More rain expected,LK,Manatuto,Laclubar,Batara,,,liliana.otilia@mss.gov.tl,5/08/03,,Same Earthquake,Y
Report,Situational Report,LK,Manatuto,Laclubar,Fatumaquerec,,,adriana.macedo@redcross.tl,6/08/03,,Same Earthquake,Y
Report,Situational Report,LK,Manatuto,Laclubar,Funar,,,jose.soares@oxfam.org.tl,7/08/03,,Same Earthquake,Y
Report,Situational Report,LK,Manatuto,Laclubar,Manelima,,,adriana.macedo@redcross.tl,8/08/03,,Same Earthquake,Y
Report,Situational Report,LK,Manatuto,Laclubar,Orlalan,,,eduardo.dossantos@tl.mercycorps.org,9/08/03,,Same Earthquake,Y
Report,Situational Report,LK,Manatuto,Laclubar,Sanana'in,,,jose.soares@oxfam.org.tl,10/08/03,,Same Earthquake,Y
Report,Situational Report,LK,Viqueque,Lacluta,Dilor,,,adriana.macedo@redcross.tl,11/08/03,,Same Earthquake,Y
Report,Situational Report,LK,Viqueque,Lacluta,Laline,,,liliana.otilia@mss.gov.tl,12/08/03,,Same Earthquake,Y
Report,Situational Report,LK,Viqueque,Lacluta,Uma Tolu,,,eduardo.dossantos@tl.mercycorps.org,13/08/03,,Same Earthquake,Y
Report,Situational Report,LK,Baucau,Laga,Atelari,,,jose.soares@oxfam.org.tl,14/08/03,,Same Earthquake,Y
Report,Situational Report,LK,Baucau,Laga,Libagua,,,jose.soares@oxfam.org.tl,15/08/03,,Same Earthquake,Y
Report,Situational Report,LK,Baucau,Laga,Nunira,,,eduardo.dossantos@tl.mercycorps.org,16/08/03,,Same Earthquake,Y
Report,Same Earthquake Lessons Learnt,LK,Baucau,Laga,Saelari,,,liliana.otilia@mss.gov.tl,17/08/03,,Same Earthquake,Y
Assessment,Damage Assessment,LK,Lautém,Lautém,Baduro,,,adriana.macedo@redcross.tl,30/08/03,,Same Earthquake,Y
Assessment,Community Needs Assessment,LK,Lautém,Lautém,Com,,,jose.soares@oxfam.org.tl,31/08/03,,Same Earthquake,Y
Assessment,Area Assessment ,LK,Lautém,Lautém,Daudare,,,adriana.macedo@redcross.tl,1/09/03,,Same Earthquake,Y
Assessment,Damage Assessment,LK,Lautém,Lautém,Euquisi,,,eduardo.dossantos@tl.mercycorps.org,2/09/03,,Same Earthquake,Y
Assessment,Community Needs Assessment,LK,Lautém,Lautém,Ililai,,,jose.soares@oxfam.org.tl,3/09/03,,Same Earthquake,Y
Assessment,Area Assessment ,LK,Lautém,Lautém,Maina I,,,adriana.macedo@redcross.tl,4/09/03,,Same Earthquake,Y
Assessment,Damage Assessment,LK,Lautém,Lautém,Maina II,,,liliana.otilia@mss.gov.tl,5/09/03,,Same Earthquake,Y
Assessment,Community Needs Assessment,LK,Lautém,Lautém,Pairara,,,eduardo.dossantos@tl.mercycorps.org,6/09/03,,Same Earthquake,Y
Assessment,Area Assessment ,LK,Lautém,Lautém,Parlamento,,,jose.soares@oxfam.org.tl,7/09/03,,Same Earthquake,Y
Assessment,Damage Assessment,LK,Lautém,Lautém,Serelau,,,jose.soares@oxfam.org.tl,8/09/03,,Same Earthquake,Y
Assessment,Community Needs Assessment,LK,Ermera,Letefoho,Catrai Leten,,,eduardo.dossantos@tl.mercycorps.org,9/09/03,,Same Earthquake,Y
Assessment,Area Assessment ,LK,Ermera,Letefoho,Catrai-Craic,,,liliana.otilia@mss.gov.tl,10/09/03,,Same Earthquake,Y
Incident,Flooding,LK,Ermera,Letefoho,Ducurai,,,adriana.macedo@redcross.tl,11/09/03,,Same Earthquake,Y
Incident,Landslide,LK,Ermera,Letefoho,Eraulo,,,jose.soares@oxfam.org.tl,12/09/03,,Same Earthquake,Y
Incident,Houses Destroyied,LK,Ermera,Letefoho,Goulolo,,,adriana.macedo@redcross.tl,13/09/03,,Same Earthquake,Y
Incident,Flooding,LK,Ermera,Letefoho,Hatugau,,,eduardo.dossantos@tl.mercycorps.org,14/09/03,,Same Earthquake,Y
Incident,Landslide,LK,Ermera,Letefoho,Haupu,,,jose.soares@oxfam.org.tl,15/09/03,,Same Earthquake,Y
Incident,Houses Destroyied,LK,Ermera,Letefoho,Lauana,,,adriana.macedo@redcross.tl,16/09/03,,Same Earthquake,Y
Incident,Flooding,LK,Liquiçá,Liquiçá,Asumano,,,liliana.otilia@mss.gov.tl,17/09/03,,Same Earthquake,Y
Incident,Landslide,LK,Liquiçá,Liquiçá,Darulete,,,eduardo.dossantos@tl.mercycorps.org,18/09/03,,Same Earthquake,Y
Incident,Houses Destroyied,LK,Liquiçá,Liquiçá,Dato,,,jose.soares@oxfam.org.tl,19/09/03,,Same Earthquake,Y
Incident,Flooding,LK,Liquiçá,Liquiçá,Hatuquessi,,,jose.soares@oxfam.org.tl,20/09/03,,Same Earthquake,Y
Incident,Landslide,LK,Liquiçá,Liquiçá,Leoteala,,,eduardo.dossantos@tl.mercycorps.org,21/09/03,,Same Earthquake,Y
Incident,Houses Destroyied,LK,Liquiçá,Liquiçá,Loidahar,,,liliana.otilia@mss.gov.tl,22/09/03,,Same Earthquake,Y
Alert,Heavy Rains Due,LK,Liquiçá,Liquiçá,Luculai,,,liliana.otilia@mss.gov.tl,1/09/04,,Same Earthquake,Y
Alert,Heavy Flooding in Area,LK,Aileu,Liquidoe,Acubilitoho,,,liliana.otilia@mss.gov.tl,2/09/04,,Same Earthquake,Y
Alert,More rain expected,LK,Aileu,Liquidoe,Bereleu,,,liliana.otilia@mss.gov.tl,3/09/04,,Same Earthquake,Y
Alert,High winds,LK,Aileu,Liquidoe,Betulau,,,liliana.otilia@mss.gov.tl,4/09/04,,Same Earthquake,Y
Alert,More rain expected,LK,Aileu,Liquidoe,Fahisoi,,,liliana.otilia@mss.gov.tl,5/09/04,,Same Earthquake,Y
Report,Situational Report,LK,Aileu,Liquidoe,Faturilau,,,adriana.macedo@redcross.tl,6/09/04,,Same Earthquake,Y
Report,Situational Report,LK,Aileu,Liquidoe,Manucasa,,,jose.soares@oxfam.org.tl,7/09/04,,Same Earthquake,Y
Report,Situational Report,LK,Aileu,Liquidoe,Namoleso,,,adriana.macedo@redcross.tl,8/09/04,,Same Earthquake,Y
Report,Situational Report,LK,Bobonaro,Lolotoe,Deudet,,,eduardo.dossantos@tl.mercycorps.org,9/09/04,,Same Earthquake,Y
Report,Situational Report,LK,Bobonaro,Lolotoe,Gildapil,,,jose.soares@oxfam.org.tl,10/09/04,,Same Earthquake,Y
Report,Situational Report,LK,Bobonaro,Lolotoe,Guda,,,adriana.macedo@redcross.tl,11/09/04,,Same Earthquake,Y
Report,Situational Report,LK,Bobonaro,Lolotoe,Lebos,,,liliana.otilia@mss.gov.tl,12/09/04,,Same Earthquake,Y
Report,Situational Report,LK,Bobonaro,Lolotoe,Lontas,,,eduardo.dossantos@tl.mercycorps.org,13/09/04,,Same Earthquake,Y
