Series,Body,Country,L1,L2,L3,L4,Comments,Author,Date,Attachment,Events,Expired
Report,Situational Report,TL,Manufahi,Alas,Dotic,,,jose.soares@oxfam.org.tl,2010-05-05,,Flood Manufahi,N
Report,Situational Report,TL,Manufahi,Alas,Mahaquidan,,,adriana.macedo@redcross.tl,2010-04-15,,Flood Manufahi,N
Report,Situational Report,TL,Manufahi,Alas,Taitudac,,,liliana.otilia@mss.gov.tl,2010-04-10,,Flood Manufahi,N
Report,Situational Report,TL,Manufahi,Alas,Uma Berloic,,,eduardo.dossantos@tl.mercycorps.org,2010-04-20,,Flood Manufahi,N
Report,Situational Report,TL,Bobonaro,Atabae,Aidabaleten,,,jose.soares@oxfam.org.tl,2010-05-01,,Flood Manufahi,N
Report,Situational Report,TL,Bobonaro,Atabae,Atabae,,,jose.soares@oxfam.org.tl,2010-05-05,,Flood Manufahi,N
Report,Situational Report,TL,Bobonaro,Atabae,Hataz,,,eduardo.dossantos@tl.mercycorps.org,2010-04-15,,Flood Manufahi,N
Report,Flood Manufahi Lessons Learnt,TL,Bobonaro,Atabae,Rairobo,,,liliana.otilia@mss.gov.tl,2010-07-10,,Flood Manufahi,N
Activity,Community Mitigation Activities,TL,Dili,Atauro,Atauro Vila/Maumeta,,,adriana.macedo@redcross.tl,2010-04-20,,,N
Activity,Distribution of NFIs,TL,Dili,Atauro,Beloi,,,jose.soares@oxfam.org.tl,2010-05-01,,Flood Manufahi,N
Activity,Distribution of NFIs,TL,Dili,Atauro,Biceli,,,adriana.macedo@redcross.tl,2010-05-05,,Flood Manufahi,N
Activity,Distribution of NFIs,TL,Dili,Atauro,Macadade,,,eduardo.dossantos@tl.mercycorps.org,2010-04-15,,Flood Manufahi,N
Activity,Distribution of NFIs,TL,Dili,Atauro,Maquili,,,jose.soares@oxfam.org.tl,2010-04-10,,Flood Manufahi,N
Activity,Reconstruction of Houses,TL,Ermera,Atsabe,Atadame/Malabe,,,adriana.macedo@redcross.tl,2010-04-20,,Flood Manufahi,N
Activity,Reconstruction of Houses,TL,Ermera,Atsabe,Atara,,,liliana.otilia@mss.gov.tl,2010-05-01,,Flood Manufahi,N
Activity,Reconstruction of Houses,TL,Ermera,Atsabe,Baboi Craic,,,eduardo.dossantos@tl.mercycorps.org,2010-05-05,,Flood Manufahi,N
Activity,Reconstruction of Houses,TL,Ermera,Atsabe,Batumanu,,,jose.soares@oxfam.org.tl,2010-04-15,,Flood Manufahi,N
Activity,First Aid,TL,Ermera,Atsabe,Beboi Leten,,,jose.soares@oxfam.org.tl,2010-04-10,,Flood Manufahi,N
Activity,First Aid,TL,Ermera,Atsabe,Laclo,,,eduardo.dossantos@tl.mercycorps.org,2010-04-20,,Flood Manufahi,N
Activity,First Aid,TL,Ermera,Atsabe,Lasaun,,,liliana.otilia@mss.gov.tl,2010-05-01,,Flood Manufahi,N
Assessment,Damage Assessment,TL,Ermera,Atsabe,Laubono,,,adriana.macedo@redcross.tl,2010-05-05,,Flood Manufahi,N
Assessment,Community Needs Assessment,TL,Ermera,Atsabe,Leimea Leten,,,jose.soares@oxfam.org.tl,2010-04-15,,Flood Manufahi,N
Assessment,Area Assessment ,TL,Ermera,Atsabe,Obulo,,,adriana.macedo@redcross.tl,2010-04-10,,Flood Manufahi,N
Assessment,Damage Assessment,TL,Ermera,Atsabe,Paramin,,,eduardo.dossantos@tl.mercycorps.org,2010-04-20,,Flood Manufahi,N
Assessment,Community Needs Assessment,TL,Ermera,Atsabe,Tiarlelo,,,jose.soares@oxfam.org.tl,2010-05-01,,Flood Manufahi,N
Assessment,Area Assessment ,TL,Baucau,Baguia,Afaloicai,,,adriana.macedo@redcross.tl,2010-05-05,,Flood Manufahi,N
Assessment,Damage Assessment,TL,Baucau,Baguia,Alaua Craic,,,liliana.otilia@mss.gov.tl,2010-04-15,,Flood Manufahi,N
Assessment,Community Needs Assessment,TL,Baucau,Baguia,Alaua Leten,,,eduardo.dossantos@tl.mercycorps.org,2010-04-10,,Flood Manufahi,N
Assessment,Area Assessment ,TL,Baucau,Baguia,Defa Uassi,,,jose.soares@oxfam.org.tl,2010-04-20,,Flood Manufahi,N
Assessment,Damage Assessment,TL,Baucau,Baguia,Haeconi,,,jose.soares@oxfam.org.tl,2010-05-01,,Flood Manufahi,N
Assessment,Community Needs Assessment,TL,Baucau,Baguia,Lari Sula,,,eduardo.dossantos@tl.mercycorps.org,2010-05-05,,Flood Manufahi,N
Assessment,Area Assessment ,TL,Baucau,Baguia,Lavateri,,,liliana.otilia@mss.gov.tl,2010-04-15,,Flood Manufahi,N
Incident,Flooding,TL,Baucau,Baguia,Osso-Huna,,,adriana.macedo@redcross.tl,2010-04-10,,Flood Manufahi,N
Incident,Landslide,TL,Baucau,Baguia,Samalari,,,jose.soares@oxfam.org.tl,2010-04-20,,Flood Manufahi,N
Incident,Houses Destroyied,TL,Bobonaro,Balibo,Balibo Vila,,,adriana.macedo@redcross.tl,2010-05-01,,Flood Manufahi,N
Incident,Flooding,TL,Bobonaro,Balibo,Batugade,,,eduardo.dossantos@tl.mercycorps.org,2010-05-05,,Flood Manufahi,N
Incident,Landslide,TL,Bobonaro,Balibo,Cowa,,,jose.soares@oxfam.org.tl,2010-04-15,,Flood Manufahi,N
Incident,Houses Destroyied,TL,Bobonaro,Balibo,Leohito,,,adriana.macedo@redcross.tl,2010-04-10,,Flood Manufahi,N
Incident,Flooding,TL,Bobonaro,Balibo,Leolima,,,liliana.otilia@mss.gov.tl,2010-04-20,,Flood Manufahi,N
Incident,Landslide,TL,Bobonaro,Balibo,Sanirin,,,eduardo.dossantos@tl.mercycorps.org,2010-05-01,,Flood Manufahi,N
Incident,Houses Destroyied,TL,Manatuto,Barique/Natarbora,Abat Oan,,,jose.soares@oxfam.org.tl,2010-05-05,,Flood Manufahi,N
Incident,Flooding,TL,Manatuto,Barique/Natarbora,Aubeon,,,jose.soares@oxfam.org.tl,2010-04-15,,Flood Manufahi,N
Incident,Landslide,TL,Manatuto,Barique/Natarbora,Barique,,,eduardo.dossantos@tl.mercycorps.org,2010-04-10,,Flood Manufahi,N
Incident,Houses Destroyied,TL,Manatuto,Barique/Natarbora,Manehat,,,liliana.otilia@mss.gov.tl,2010-04-20,,Flood Manufahi,N
Alert,Heavy Rains Due,TL,Manatuto,Barique/Natarbora,Uma Boco,,,liliana.otilia@mss.gov.tl,2009-07-01,,Drought Tibar,Y
Alert,Heavy Flooding in Area,TL,Baucau,Baucau,Bahu,,,liliana.otilia@mss.gov.tl,2009-07-02,,Drought Tibar,Y
Alert,More rain expected,TL,Baucau,Baucau,Bucoli,,,liliana.otilia@mss.gov.tl,2009-07-03,,Drought Tibar,Y
Alert,High winds,TL,Baucau,Baucau,Buibau,,,liliana.otilia@mss.gov.tl,2009-07-04,,Drought Tibar,Y
Alert,More rain expected,TL,Baucau,Baucau,Buruma,,,liliana.otilia@mss.gov.tl,2009-07-05,,Drought Tibar,Y
Report,Situational Report,TL,Baucau,Baucau,Caibada,,,adriana.macedo@redcross.tl,2009-07-06,,Drought Tibar,Y
Report,Situational Report,TL,Baucau,Baucau,Gariuai,,,jose.soares@oxfam.org.tl,2009-07-07,,Drought Tibar,Y
Report,Situational Report,TL,Baucau,Baucau,Samalari,,,adriana.macedo@redcross.tl,2009-07-08,,Drought Tibar,Y
Report,Situational Report,TL,Baucau,Baucau,Seical,,,eduardo.dossantos@tl.mercycorps.org,2009-07-09,,Drought Tibar,Y
Report,Situational Report,TL,Baucau,Baucau,Triloca,,,jose.soares@oxfam.org.tl,2009-07-10,,Drought Tibar,Y
Report,Situational Report,TL,Baucau,Baucau,Trilolo,,,adriana.macedo@redcross.tl,2009-07-11,,Drought Tibar,Y
Report,Situational Report,TL,Baucau,Baucau,Wailili,,,liliana.otilia@mss.gov.tl,2009-07-12,,Drought Tibar,Y
Report,Situational Report,TL,Liquiçá,Bazartete,Fahilebo,,,eduardo.dossantos@tl.mercycorps.org,2009-07-13,,Drought Tibar,Y
Report,Situational Report,TL,Liquiçá,Bazartete,Fatumasi,,,jose.soares@oxfam.org.tl,2009-07-14,,Drought Tibar,Y
Report,Situational Report,TL,Liquiçá,Bazartete,Lauhata,,,jose.soares@oxfam.org.tl,2009-07-15,,Drought Tibar,Y
Report,Situational Report,TL,Liquiçá,Bazartete,Leorema,,,eduardo.dossantos@tl.mercycorps.org,2009-07-16,,Drought Tibar,Y
Report,Drought Tibar Lessons Learnt,TL,Liquiçá,Bazartete,Maumeta,,,liliana.otilia@mss.gov.tl,2009-07-17,,Drought Tibar,Y
Activity,Community Mitigation Activities,TL,Liquiçá,Bazartete,Metagou,,,adriana.macedo@redcross.tl,2009-07-18,,Drought Tibar,Y
Activity,Distribution of NFIs,TL,Liquiçá,Bazartete,Motaulun,,,jose.soares@oxfam.org.tl,2009-07-19,,Drought Tibar,Y
Activity,Distribution of NFIs,TL,Liquiçá,Bazartete,Tibar,,,adriana.macedo@redcross.tl,2009-07-20,,Drought Tibar,Y
Activity,Distribution of NFIs,TL,Liquiçá,Bazartete,Ulmera,,,eduardo.dossantos@tl.mercycorps.org,2009-07-21,,Drought Tibar,Y
Activity,Distribution of NFIs,TL,Bobonaro,Bobonaro,Ai-Assa,,,jose.soares@oxfam.org.tl,2009-07-22,,Drought Tibar,Y
Activity,Reconstruction of Houses,TL,Bobonaro,Bobonaro,Atu-Aben,,,adriana.macedo@redcross.tl,2009-07-23,,Drought Tibar,Y
Activity,Reconstruction of Houses,TL,Bobonaro,Bobonaro,Bobonaro,,,liliana.otilia@mss.gov.tl,2009-07-24,,Drought Tibar,Y
Activity,Reconstruction of Houses,TL,Bobonaro,Bobonaro,Carabau,,,eduardo.dossantos@tl.mercycorps.org,2009-07-25,,Drought Tibar,Y
Activity,Reconstruction of Houses,TL,Bobonaro,Bobonaro,Colimau,,,jose.soares@oxfam.org.tl,2009-07-26,,Drought Tibar,Y
Activity,First Aid,TL,Bobonaro,Bobonaro,Cotabot,,,jose.soares@oxfam.org.tl,2009-07-27,,Drought Tibar,Y
Activity,First Aid,TL,Bobonaro,Bobonaro,Ilat-Laun,,,eduardo.dossantos@tl.mercycorps.org,2009-07-28,,Drought Tibar,Y
Activity,First Aid,TL,Bobonaro,Bobonaro,Leber,,,liliana.otilia@mss.gov.tl,2009-07-29,,Drought Tibar,Y
Assessment,Damage Assessment,TL,Bobonaro,Bobonaro,Lour,,,adriana.macedo@redcross.tl,2009-07-30,,Drought Tibar,Y
Assessment,Community Needs Assessment,TL,Bobonaro,Bobonaro,Lourba,,,jose.soares@oxfam.org.tl,2009-07-31,,Drought Tibar,Y
Assessment,Area Assessment ,TL,Bobonaro,Bobonaro,Male-Ubu,,,adriana.macedo@redcross.tl,2009-08-01,,Drought Tibar,Y
Assessment,Damage Assessment,TL,Bobonaro,Bobonaro,Malilait,,,eduardo.dossantos@tl.mercycorps.org,2009-08-02,,Drought Tibar,Y
Assessment,Community Needs Assessment,TL,Bobonaro,Bobonaro,Molop,,,jose.soares@oxfam.org.tl,2009-08-03,,Drought Tibar,Y
Assessment,Area Assessment ,TL,Bobonaro,Bobonaro,Oe-Leu,,,adriana.macedo@redcross.tl,2009-08-04,,Drought Tibar,Y
Assessment,Damage Assessment,TL,Bobonaro,Bobonaro,Sibuni,,,liliana.otilia@mss.gov.tl,2009-08-05,,Drought Tibar,Y
Assessment,Community Needs Assessment,TL,Bobonaro,Bobonaro,Soilesu,,,eduardo.dossantos@tl.mercycorps.org,2009-08-06,,Drought Tibar,Y
Assessment,Area Assessment ,TL,Bobonaro,Bobonaro,Tapo,,,jose.soares@oxfam.org.tl,2009-08-07,,Drought Tibar,Y
Assessment,Damage Assessment,TL,Bobonaro,Bobonaro,Tebabui,,,jose.soares@oxfam.org.tl,2009-08-08,,Drought Tibar,Y
Assessment,Community Needs Assessment,TL,Bobonaro,Cailaco,Atudara,,,eduardo.dossantos@tl.mercycorps.org,2009-08-09,,Drought Tibar,Y
Assessment,Area Assessment ,TL,Bobonaro,Cailaco,Dau Udo,,,liliana.otilia@mss.gov.tl,2009-08-10,,Drought Tibar,Y
Incident,Flooding,TL,Bobonaro,Cailaco,Goulolo,,,adriana.macedo@redcross.tl,2009-08-11,,Drought Tibar,Y
Incident,Landslide,TL,Bobonaro,Cailaco,Guenu Lai,,,jose.soares@oxfam.org.tl,2009-08-12,,Drought Tibar,Y
Incident,Houses Destroyied,TL,Bobonaro,Cailaco,Manapa,,,adriana.macedo@redcross.tl,2009-08-13,,Drought Tibar,Y
Incident,Flooding,TL,Bobonaro,Cailaco,Meligo,,,eduardo.dossantos@tl.mercycorps.org,2009-08-14,,Drought Tibar,Y
Incident,Landslide,TL,Bobonaro,Cailaco,Purugoa,,,jose.soares@oxfam.org.tl,2009-08-15,,Drought Tibar,Y
Incident,Houses Destroyied,TL,Bobonaro,Cailaco,Raiheu,,,adriana.macedo@redcross.tl,2009-08-16,,Drought Tibar,Y
Incident,Flooding,TL,Dili,Cristo Rei,Balibar,,,liliana.otilia@mss.gov.tl,2009-08-17,,Drought Tibar,Y
Incident,Landslide,TL,Dili,Cristo Rei,Becora,,,eduardo.dossantos@tl.mercycorps.org,2009-08-18,,Drought Tibar,Y
Incident,Houses Destroyied,TL,Dili,Cristo Rei,Bidau Santana,,,jose.soares@oxfam.org.tl,2009-08-19,,Drought Tibar,Y
Incident,Flooding,TL,Dili,Cristo Rei,Camea,,,jose.soares@oxfam.org.tl,2009-08-20,,Drought Tibar,Y
Incident,Landslide,TL,Dili,Cristo Rei,Culu Hun,,,eduardo.dossantos@tl.mercycorps.org,2009-08-21,,Drought Tibar,Y
Incident,Houses Destroyied,TL,Dili,Cristo Rei,Hera,,,liliana.otilia@mss.gov.tl,2009-08-22,,Drought Tibar,Y
Alert,Heavy Rains Due,TL,Dili,Cristo Rei,Meti Aut,,,liliana.otilia@mss.gov.tl,2002-06-01,,Dili Tsunami,Y
Alert,Heavy Flooding in Area,TL,Dili,Dom Aleixo,Bairro Pite,,,liliana.otilia@mss.gov.tl,2002-06-02,,Dili Tsunami,Y
Alert,More rain expected,TL,Dili,Dom Aleixo,Comoro,,,liliana.otilia@mss.gov.tl,2002-06-03,,Dili Tsunami,Y
Alert,High winds,TL,Dili,Dom Aleixo,Fatuhada,,,liliana.otilia@mss.gov.tl,2002-06-04,,Dili Tsunami,Y
Alert,More rain expected,TL,Dili,Dom Aleixo,Kampung Alor,,,liliana.otilia@mss.gov.tl,2002-06-05,,Dili Tsunami,Y
Report,Situational Report,TL,Ermera,Ermera,Estado,,,adriana.macedo@redcross.tl,2002-06-06,,Dili Tsunami,Y
Report,Situational Report,TL,Ermera,Ermera,Humboe,,,jose.soares@oxfam.org.tl,2002-06-07,,Dili Tsunami,Y
Report,Situational Report,TL,Ermera,Ermera,Lauala,,,adriana.macedo@redcross.tl,2002-06-08,,Dili Tsunami,Y
Report,Situational Report,TL,Ermera,Ermera,Leguimea,,,eduardo.dossantos@tl.mercycorps.org,2002-06-09,,Dili Tsunami,Y
Report,Situational Report,TL,Ermera,Ermera,Mirtutu,,,jose.soares@oxfam.org.tl,2002-06-10,,Dili Tsunami,Y
Report,Situational Report,TL,Ermera,Ermera,Poetete,,,adriana.macedo@redcross.tl,2002-06-11,,Dili Tsunami,Y
Report,Situational Report,TL,Ermera,Ermera,Ponilala,,,liliana.otilia@mss.gov.tl,2002-06-12,,Dili Tsunami,Y
Report,Situational Report,TL,Ermera,Ermera,Raimerhei,,,eduardo.dossantos@tl.mercycorps.org,2002-06-13,,Dili Tsunami,Y
Report,Situational Report,TL,Ermera,Ermera,Riheu,,,jose.soares@oxfam.org.tl,2002-06-14,,Dili Tsunami,Y
Report,Situational Report,TL,Ermera,Ermera,Talimoro,,,jose.soares@oxfam.org.tl,2002-06-15,,Dili Tsunami,Y
Report,Situational Report,TL,Manufahi,Fatuberliu,Bubususo,,,eduardo.dossantos@tl.mercycorps.org,2002-06-16,,Dili Tsunami,Y
Report,Dili Tsunami Lessons Learnt,TL,Manufahi,Fatuberliu,Caicasa,,,liliana.otilia@mss.gov.tl,2002-06-17,,Dili Tsunami,Y
Activity,Community Mitigation Activities,TL,Manufahi,Fatuberliu,Clacuc,,,adriana.macedo@redcross.tl,2002-06-18,,Dili Tsunami,Y
Activity,Distribution of NFIs,TL,Manufahi,Fatuberliu,Fahinehan,,,jose.soares@oxfam.org.tl,2002-06-19,,Dili Tsunami,Y
Activity,Distribution of NFIs,TL,Manufahi,Fatuberliu,Fatucahi,,,adriana.macedo@redcross.tl,2002-06-20,,Dili Tsunami,Y
Activity,Distribution of NFIs,TL,Covalima,Fatululic,Fatululic,,,eduardo.dossantos@tl.mercycorps.org,2002-06-21,,Dili Tsunami,Y
Activity,Distribution of NFIs,TL,Covalima,Fatululic,Taroman,,,jose.soares@oxfam.org.tl,2002-06-22,,Dili Tsunami,Y
Activity,Reconstruction of Houses,TL,Covalima,Fatumean,Belulic Leten,,,adriana.macedo@redcross.tl,2002-06-23,,Dili Tsunami,Y
Activity,Reconstruction of Houses,TL,Covalima,Fatumean,Fatumea,,,liliana.otilia@mss.gov.tl,2002-06-24,,Dili Tsunami,Y
Activity,Reconstruction of Houses,TL,Covalima,Fatumean,Nanu,,,eduardo.dossantos@tl.mercycorps.org,2002-06-25,,Dili Tsunami,Y
Activity,Reconstruction of Houses,TL,Covalima,Fohorem,Dato Rua,,,jose.soares@oxfam.org.tl,2002-06-26,,Dili Tsunami,Y
Activity,First Aid,TL,Covalima,Fohorem,Dato Tolu,,,jose.soares@oxfam.org.tl,2002-06-27,,Dili Tsunami,Y
Activity,First Aid,TL,Covalima,Fohorem,Fohoren,,,eduardo.dossantos@tl.mercycorps.org,2002-06-28,,Dili Tsunami,Y
Activity,First Aid,TL,Covalima,Fohorem,Lactos,,,liliana.otilia@mss.gov.tl,2002-06-29,,Dili Tsunami,Y
Assessment,Damage Assessment,TL,Ermera,Hatolia,Ailelo,,,adriana.macedo@redcross.tl,2002-06-30,,Dili Tsunami,Y
Assessment,Community Needs Assessment,TL,Ermera,Hatolia,Asulau,,,jose.soares@oxfam.org.tl,2002-07-01,,Dili Tsunami,Y
Assessment,Area Assessment ,TL,Ermera,Hatolia,Coliate-Leotelo,,,adriana.macedo@redcross.tl,2002-07-02,,Dili Tsunami,Y
Assessment,Damage Assessment,TL,Ermera,Hatolia,Fatubessi,,,eduardo.dossantos@tl.mercycorps.org,2002-07-03,,Dili Tsunami,Y
Assessment,Community Needs Assessment,TL,Ermera,Hatolia,Fatubolu,,,jose.soares@oxfam.org.tl,2002-07-04,,Dili Tsunami,Y
Assessment,Area Assessment ,TL,Ermera,Hatolia,Hatolia,,,adriana.macedo@redcross.tl,2002-07-05,,Dili Tsunami,Y
Assessment,Damage Assessment,TL,Ermera,Hatolia,Leimea Sorimbalu,,,liliana.otilia@mss.gov.tl,2002-07-06,,Dili Tsunami,Y
Assessment,Community Needs Assessment,TL,Ermera,Hatolia,Leimeacraic,,,eduardo.dossantos@tl.mercycorps.org,2002-07-07,,Dili Tsunami,Y
Assessment,Area Assessment ,TL,Ermera,Hatolia,Lissapat,,,jose.soares@oxfam.org.tl,2002-07-08,,Dili Tsunami,Y
Assessment,Damage Assessment,TL,Ermera,Hatolia,Manusae,,,jose.soares@oxfam.org.tl,2002-07-09,,Dili Tsunami,Y
Assessment,Community Needs Assessment,TL,Ermera,Hatolia,Mau-Ubu,,,eduardo.dossantos@tl.mercycorps.org,2002-07-10,,Dili Tsunami,Y
Assessment,Area Assessment ,TL,Ermera,Hatolia,Samara,,,liliana.otilia@mss.gov.tl,2002-07-11,,Dili Tsunami,Y
Incident,Flooding,TL,Ermera,Hatolia,Urahou,,,adriana.macedo@redcross.tl,2002-07-12,,Dili Tsunami,Y
Incident,Landslide,TL,Ainaro,Hatu-Builico,Mau-Chiga,,,jose.soares@oxfam.org.tl,2002-07-13,,Dili Tsunami,Y
Incident,Houses Destroyied,TL,Ainaro,Hatu-Builico,Mulo,,,adriana.macedo@redcross.tl,2002-07-14,,Dili Tsunami,Y
Incident,Flooding,TL,Ainaro,Hatu-Builico,Nuno-Mogue,,,eduardo.dossantos@tl.mercycorps.org,2002-07-15,,Dili Tsunami,Y
Incident,Landslide,TL,Ainaro,Hatu-Udo,Foho-ai-Lico,,,jose.soares@oxfam.org.tl,2002-07-16,,Dili Tsunami,Y
Incident,Houses Destroyied,TL,Ainaro,Hatu-Udo,Leolima,,,adriana.macedo@redcross.tl,2002-07-17,,Dili Tsunami,Y
Incident,Flooding,TL,Lautém,Iliomar,Ailebere,,,liliana.otilia@mss.gov.tl,2002-07-18,,Dili Tsunami,Y
Incident,Landslide,TL,Lautém,Iliomar,Cainliu,,,eduardo.dossantos@tl.mercycorps.org,2002-07-19,,Dili Tsunami,Y
Incident,Houses Destroyied,TL,Lautém,Iliomar,Fuat,,,jose.soares@oxfam.org.tl,2002-07-20,,Dili Tsunami,Y
Incident,Flooding,TL,Lautém,Iliomar,Iliomar I,,,jose.soares@oxfam.org.tl,2002-07-21,,Dili Tsunami,Y
Incident,Landslide,TL,Lautém,Iliomar,Iliomar II,,,eduardo.dossantos@tl.mercycorps.org,2002-07-22,,Dili Tsunami,Y
Incident,Houses Destroyied,TL,Lautém,Iliomar,Tirilolo,,,liliana.otilia@mss.gov.tl,2002-07-23,,Dili Tsunami,Y
Alert,Heavy Rains Due,TL,Manatuto,Laclo,Hohorai,,,liliana.otilia@mss.gov.tl,2003-08-01,,Same Earthquake,Y
Alert,Heavy Flooding in Area,TL,Manatuto,Laclo,Lacumesac,,,liliana.otilia@mss.gov.tl,2003-08-02,,Same Earthquake,Y
Alert,More rain expected,TL,Manatuto,Laclo,Uma Naruc,,,liliana.otilia@mss.gov.tl,2003-08-03,,Same Earthquake,Y
Alert,High winds,TL,Manatuto,Laclo,Umacaduac,,,liliana.otilia@mss.gov.tl,2003-08-04,,Same Earthquake,Y
Alert,More rain expected,TL,Manatuto,Laclubar,Batara,,,liliana.otilia@mss.gov.tl,2003-08-05,,Same Earthquake,Y
Report,Situational Report,TL,Manatuto,Laclubar,Fatumaquerec,,,adriana.macedo@redcross.tl,2003-08-06,,Same Earthquake,Y
Report,Situational Report,TL,Manatuto,Laclubar,Funar,,,jose.soares@oxfam.org.tl,2003-08-07,,Same Earthquake,Y
Report,Situational Report,TL,Manatuto,Laclubar,Manelima,,,adriana.macedo@redcross.tl,2003-08-08,,Same Earthquake,Y
Report,Situational Report,TL,Manatuto,Laclubar,Orlalan,,,eduardo.dossantos@tl.mercycorps.org,2003-08-09,,Same Earthquake,Y
Report,Situational Report,TL,Manatuto,Laclubar,Sanana'in,,,jose.soares@oxfam.org.tl,2003-08-10,,Same Earthquake,Y
Report,Situational Report,TL,Viqueque,Lacluta,Dilor,,,adriana.macedo@redcross.tl,2003-08-11,,Same Earthquake,Y
