"Sex","First Name","Last Name","Type","Email","Mobile Phone","Organisation","Acronym","Office Phone","Skype","Office","Title","Skill"
"Ms.","Mona","Davidson","Staff","nisi@libero.ca","1 47 717 4165-3330","American Red Cross of Greater Los Angeles","ARC","1 36 562 2291-9230","HOSEZ48","Arcadia Chapter","Chief Technical Officer",
"Mr.","Morgan","Foster","Staff","ipsum.nunc@CuraePhasellus.ca","1 10 797 5079-2224","American Red Cross of Greater Los Angeles","ARC","1 97 173 3370-0026","YUXXV96","Claremont Chapter","Chief Financial Officer",
"Mr.","Morgan","Richard","Staff","dolor@elementumlorem.com","1 32 100 7934-8338","American Red Cross of Greater Los Angeles","ARC","1 41 755 5931-6026","CSMNA76","East San Fernando Valley District Office","Chief Financial Officer",
"Ms.","Naida","Shepard","Staff","nec@consectetuerrhoncusNullam.org","1 79 304 8908-3267","American Red Cross of Greater Los Angeles","ARC","1 94 901 5179-8621","PDLDW44","Chapter Headquarters, West District Office","Doctor",
"Mr.","Nevada","Cummings","Staff","Integer.aliquam.adipiscing@convallis.com","1 21 148 3943-2384","American Red Cross of Greater Los Angeles","ARC","1 46 786 9278-9908","YFPGK74","Arcadia Chapter","Chief Information Officer",
"Mr.","Nina","Rutledge","Staff","consequat@quisarcuvel.org","1 33 804 1504-8771","American Red Cross of Greater Los Angeles","ARC","1 88 795 9437-1101","AVWNC24","South Bay District Office","Chief Operating Officer",
"Mr.","Nola","Booth","Staff","eget@musAenean.org","1 33 848 3999-4843","American Red Cross of Greater Los Angeles","ARC","1 67 815 7735-4465","CEGUN66","Chapter Headquarters, West District Office","Chief Administrative Officer",
"Ms.","Ocean","Beard","Staff","risus.Donec@eget.edu","1 32 138 4003-9253","American Red Cross of Greater Los Angeles","ARC","1 94 707 6067-8713","GFKJM65","Glendale-Crescenta Valley","Chief Executive Officer",
"Ms.","Octavia","Donaldson","Staff","congue.elit.sed@velquam.org","1 74 417 1380-8424","American Red Cross of Greater Los Angeles","ARC","1 11 524 9001-7244","ZYFSS61","Glendale-Crescenta Valley","Chief Operating Officer",
"Ms.","Odysseus","Padilla","Staff","at.augue.id@enim.com","1 98 324 1404-8047","American Red Cross of Greater Los Angeles","ARC","1 18 706 1912-6864","ZRTIO66","Koreatown/Wilshire District Office","Child Care Worker",
"Mr.","Ori","Ballard","Staff","metus.In.nec@auctorvitae.org","1 13 305 6598-8018","American Red Cross of Greater Los Angeles","ARC","1 69 767 6155-8667","SGTLH27","Koreatown/Wilshire District Office","Chief Administrative Officer",
"Ms.","Orla","David","Staff","primis.in@vitaealiquetnec.ca","1 20 326 9589-5460","American Red Cross of Greater Los Angeles","ARC","1 22 211 1645-3668","JKWGO95","Arcadia Chapter","Chief Operating Officer",
"Mr.","Otto","Knapp","Staff","et.rutrum@orcitincidunt.org","1 73 876 7301-4359","American Red Cross of Greater Los Angeles","ARC","1 57 255 3868-5198","RMEGF51","Claremont Chapter","Child Care Worker, Part Time",
"Mr.","Owen","Tucker","Staff","magna@purusaccumsan.com","1 49 117 2134-5450","American Red Cross of Greater Los Angeles","ARC","1 71 154 5065-8599","DJZNT96","Chapter Headquarters, West District Office","Nurse",
"Ms.","Patrick","Blackburn","Staff","ornare.egestas@atarcu.edu","1 65 936 1265-4850","American Red Cross of Greater Los Angeles","ARC","1 79 402 2174-9882","FJZKA54","Central East District Office","Chief Executive Officer",
"Ms.","Patrick","Copeland","Staff","Nulla.semper.tellus@feugiat.edu","1 47 797 9313-7712","American Red Cross of Greater Los Angeles","ARC","1 53 241 2115-8307","CFVHP61","West San Fernando Valley District Office","Chief Information Officer",
"Mr.","Phoebe","Hewitt","Staff","risus.Donec@risus.edu","1 24 816 3997-1927","American Red Cross of Greater Los Angeles","ARC","1 55 144 4264-0185","FZPKD12","Chapter Headquarters, West District Office","Chief Operating Officer",
"Mr.","Piper","Brock","Staff","Nulla.dignissim@Sedmalesuada.edu","1 26 121 8585-8338","American Red Cross of Greater Los Angeles","ARC","1 12 432 6255-0675","AFYAK61","East San Fernando Valley District Office","Chief Executive Officer",
"Ms.","Prescott","Meadows","Staff","feugiat.tellus.lorem@dictummi.edu","1 63 591 1837-9975","American Red Cross of Greater Los Angeles","ARC","1 26 112 4008-8625","NTLSJ83","Santa Monica Chapter","Chief Technical Officer",
"Mr.","Quinlan","Norman","Staff","venenatis@etlaciniavitae.com","1 90 100 1418-0567","American Red Cross of Greater Los Angeles","ARC","1 84 809 8105-9752","IHPTF68","San Gabriel Pomona Valley Chapter","Chief Technical Officer",
"Mr.","Rama","Cleveland","Staff","in.cursus@ategestasa.edu","1 27 579 2010-5428","American Red Cross of Greater Los Angeles","ARC","1 23 476 6854-6751","QIFRN93","Glendale-Crescenta Valley","Chief Financial Officer",
"Mr.","Rhea","Grimes","Staff","natoque.penatibus@auctorvelit.ca","1 54 564 9693-6090","American Red Cross of Greater Los Angeles","ARC","1 68 603 6361-1016","IPQFC27","Koreatown/Wilshire District Office","Chief Financial Officer",
"Ms.","Rowan","Klein","Staff","ac@Duiselementum.edu","1 70 237 7761-8288","American Red Cross of Greater Los Angeles","ARC","1 90 847 5865-7198","TPHWH41","San Gabriel Pomona Valley Chapter","Chief Financial Officer",
"Mr.","Samuel","Eaton","Staff","sodales.at@non.edu","1 57 295 9944-2852","American Red Cross of Greater Los Angeles","ARC","1 54 209 4459-3826","EMXFZ64","Central East District Office","Chief Operating Officer",
"Ms.","Sarah","Peterson","Staff","luctus.ut@facilisiseget.com","1 79 902 4684-7106","American Red Cross of Greater Los Angeles","ARC","1 48 371 3415-2956","EBYNT94","Chapter Headquarters, West District Office","City Manager",
"Ms.","Sebastian","Gould","Staff","tristique@blanditmattis.org","1 71 586 1147-0099","American Red Cross of Greater Los Angeles","ARC","1 64 186 6957-7998","SPJLG59","Glendale-Crescenta Valley","Chief Technical Officer",
"Ms.","Seth","Talley","Staff","euismod.urna.Nullam@diam.ca","1 18 589 1564-0197","American Red Cross of Greater Los Angeles","ARC","1 19 974 5330-2249","PRFJR18","Chapter Headquarters, West District Office","Nurse",
"Mr.","Shafira","Melendez","Staff","feugiat@quamafelis.com","1 28 614 1562-2278","American Red Cross of Greater Los Angeles","ARC","1 68 718 3861-6248","ZLFIR19","Antelope Valley Chapter","Chief Operating Officer",
"Mr.","Shannon","Mcbride","Staff","mollis.Duis.sit@ridiculus.ca","1 52 820 1441-7006","American Red Cross of Greater Los Angeles","ARC","1 87 862 7812-7664","YZCTN46","West San Fernando Valley District Office","City Manager",
"Mr.","Sharon","Guzman","Staff","Etiam.ligula.tortor@aliquamenimnec.ca","1 54 192 5973-6393","American Red Cross of Greater Los Angeles","ARC","1 34 528 6122-0648","LDHFR73","Santa Clarita Valley District Office","Chief Technical Officer",
"Mr.","Simon","Barnett","Staff","et@bibendum.edu","1 88 402 4688-5007","American Red Cross of Greater Los Angeles","ARC","1 21 692 8568-4717","ULLWG33","South Bay District Office","Chief Administrative Officer",
"Mr.","Simone","Rhodes","Staff","semper.et@Proin.org","1 36 428 6535-5441","American Red Cross of Greater Los Angeles","ARC","1 79 884 8344-1287","OBHFI96","San Gabriel Pomona Valley Chapter","Child Care Worker",
"Ms.","Sonia","Lynn","Staff","Fusce.mi@feugiatnec.ca","1 64 332 9219-9942","American Red Cross of Greater Los Angeles","ARC","1 71 442 8362-1267","SFCNV57","San Gabriel Pomona Valley Chapter","Chief Information Officer",
"Ms.","Sopoline","Nieves","Staff","at.libero.Morbi@nectempus.com","1 53 555 4714-4733","American Red Cross of Greater Los Angeles","ARC","1 38 497 6056-8207","DPMLB89","Chapter Headquarters, West District Office","Child Care Worker, Part Time",
"Mr.","Sylvester","Lott","Staff","elit.Curabitur@elitdictumeu.com","1 61 350 4523-6581","American Red Cross of Greater Los Angeles","ARC","1 22 906 3999-7542","NFLXV62","Chapter Headquarters, West District Office","Chief Technical Officer",
"Mr.","Tallulah","Sweeney","Staff","tempor@et.org","1 36 237 2154-9710","American Red Cross of Greater Los Angeles","ARC","1 10 203 6415-3004","ZDLSJ28","Arcadia Chapter","Communications Manager",
"Ms.","Tana","James","Staff","mauris.a@est.org","1 70 624 7320-9520","American Red Cross of Greater Los Angeles","ARC","1 53 874 9663-5130","ZNUPH92","West San Fernando Valley District Office","Child Care Worker",
"Ms.","Veda","Shannon","Staff","varius@sagittisfelis.org","1 46 853 3947-9830","American Red Cross of Greater Los Angeles","ARC","1 92 114 5265-1504","XNYMY64","East San Fernando Valley District Office","Child Care Worker",
