"Sex","First Name","Last Name","Type","Email","Mobile Phone","Organisation","Branch","Office Phone","Office","Job Title","Home Address","Home Country","Home L1","Home L2","Home L3","Home Lat","Home Lon"
"Ms.","Margarida","Ximenes","Volunteer","margarida.ximenes@hotmail.com","+(670) 4500-9191","Timor-Leste Red Cross Society",,,,,"Vila","TL","Dili","Atauro","Atauro Vila/Maumeta",-8.26368,125.60152
"Mr.","Agusto","Quefi","Volunteer","agusto.quefi@gmail.com","+(670) 4589-6352","Timor-Leste Red Cross Society",,,,,"Hatoposi","TL","Ermera","Ermera","Ponilala",-8.72294,125.38564
"Mr.","Januario","Mali Mau","Volunteer","januario.malimau@yahoo.com","+(670) 2070-6739","Timor-Leste Red Cross Society",,,,,"Priramatan","TL","Dili","Metinaro","Duyung (Sereia)",-8.52973,125.75058
"Mr.","Marcus","Zolo","Volunteer","marcus.zolo@hotmail.com","+(670) 5710-8330","Timor-Leste Red Cross Society",,,,,"Uatoue","TL","Baucau","Baucau","Wailili",-8.56806,126.47639
"Mr.","Abel","Gusmão","Volunteer","abel.gusmao@gmail.com","+(670) 9010-3403","Timor-Leste Red Cross Society",,,,,"Naulale","TL","Baucau","Vemase","Uatu-Lari",-8.57411,126.33477
"Ms.","Diana","de Araujo","Volunteer","diana.dearaujo@yahoo.com","+(670) 6412-1943","Timor-Leste Red Cross Society",,,,,"Alaua","TL","Baucau","Baguia","Alaua Leten",-8.62425,126.67677
"Mr.","Goku","Aparicio","Volunteer","goku.aparicio@hotmail.com","+(670) 3397-2416","Timor-Leste Red Cross Society",,,,,"Limanaro","TL","Bobonaro","Atabae","Rairobo",-8.7935,125.1452
"Mr.","Alegria","Botelheiro","Volunteer","alegria.botelheiro@gmail.com","+(670) 2301-3616","Timor-Leste Red Cross Society",,,,,"Goulau","TL","Ainaro","Hatu-Udo","Leolima",-9.11476,125.58599
"Ms.","Manuela","Belo","Volunteer","manuela.belo@yahoo.com","+(670) 8276-5493","Timor-Leste Red Cross Society",,,,,"Lautekas","TL","Liquiçá","Maubara","Gugleur",-8.66314,125.15637
"Mr.","Dinis","Goveia Leite","Volunteer","dinis.goveialeite@hotmail.com","+(670) 9102-2754","Timor-Leste Red Cross Society",,,,,"Faut","TL","Oecusse","Oesilo","Bobometo",-9.30671,124.34798
"Mr.","Guido","Idalina","Volunteer","guido.idalina@gmail.com","+(670) 6089-8017","Timor-Leste Red Cross Society",,,,,"Akadirularan","TL","Ainaro","Hatu-Udo","Foho-ai-Lico",-9.14431,125.64102
"Mr.","Miguel","Nunes","Volunteer","miguel.nunes@yahoo.com","+(670) 4583-9576","Timor-Leste Red Cross Society",,,,,"Leubasa","TL","Ermera","Letefoho","Lauana",-8.89275,125.42469
"Mr.","Carlito","Cromos","Volunteer","carlito.cromos@hotmail.com","+(670) 7704-6453","Timor-Leste Red Cross Society",,,,,"Holitol","TL","Covalima","Zumalai","Raimea",-9.18797,125.49722
"Mr.","Joao","Domingas","Volunteer","joao.domingas@gmail.com","+(670) 8964-5491","Timor-Leste Red Cross Society",,,,,"Waidua","TL","Baucau","Baucau","Samalari",-8.52827,126.4811
"Mr.","Paulo","Cune","Volunteer","paulo.cune@yahoo.com","+(670) 1139-5256","Timor-Leste Red Cross Society",,,,,"Kerolisa","TL","Dili","Vera Cruz","Dare",-8.60323,125.58052
"Mr.","Josefa","Diamentino","Volunteer","josefa.diamentino@hotmail.com","+(670) 4272-3369","Timor-Leste Red Cross Society",,,,,"Orbeto","TL","Ermera","Atsabe","Leimea Leten",-8.88995,125.37951
"Mr.","Lauriano","Martins","Volunteer","lauriano.martins@gmail.com","+(670) 9713-7408","Timor-Leste Red Cross Society",,,,,"Maulore","TL","Ainaro","Ainaro","Ainaro",-8.99508,125.49941
"Ms.","Joana","Gouveia Leite","Volunteer","joana.gouveialeite@yahoo.com","+(670) 4904-5285","Timor-Leste Red Cross Society",,,,,"Auraba","TL","Baucau","Laga","Atelari",-8.55694,126.69167
"Mr.","Alcino","Salvador","Volunteer","alcino.salvador@hotmail.com","+(670) 2024-5330","Timor-Leste Red Cross Society",,,,,"Ossufaso","TL","Lautém","Luro","Luro",-8.54715,126.83158
"Mr.","Nuno","Rosmaninho","Volunteer","nuno.rosmaninho@gmail.com","+(670) 5023-4418","Timor-Leste Red Cross Society",,,,,"Charano","TL","Lautém","Lospalos","Cacavem",-8.59469,126.88854
"Mr.","Paul","dos Santos Barros","Volunteer","paul.dossantosbarros@yahoo.com","+(670) 4665-9041","Timor-Leste Red Cross Society",,,,,"Kakai","TL","Manufahi","Fatuberliu","Fahinehan",-8.99722,125.72917
"Ms.","Alexandra","Direitinho","Volunteer","alexandra.direitinho@hotmail.com","+(670) 4969-1567","Timor-Leste Red Cross Society",,,,,"Goubin","TL","Bobonaro","Balibo","Leolima",-8.86916,125.07361
"Ms.","Sirilia","Vicente","Volunteer","sirilia.vicente@gmail.com","+(670) 3876-6524","Timor-Leste Red Cross Society",,,,,"Futatas","TL","Bobonaro","Balibo","Cowa",-9.02258,124.99537
"Mr.","Nilton","Salsinha Barreto","Volunteer","nilton.salsinhabarreto@yahoo.com","+(670) 3784-2031","Timor-Leste Red Cross Society",,,,,"Poelete","TL","Bobonaro","Cailaco","Atudara",-8.86876,125.23294
"Ms.","Joaquim","Marques","Volunteer","joaquim.marques@hotmail.com","+(670) 8729-1842","Timor-Leste Red Cross Society",,,,,"Datina","TL","Manufahi","Same","Holarua",-8.93606,125.63105
"Mr.","Felix","Soares","Volunteer","felix.soares@gmail.com","+(670) 2339-9141","Timor-Leste Red Cross Society",,,,,"Erilo","TL","Liquiçá","Maubara","Gugleur",-8.65208,125.17105
"Mr.","Severina","Xavier","Volunteer","severina.xavier@yahoo.com","+(670) 8495-3306","Timor-Leste Red Cross Society",,,,,"Madaraira","TL","Lautém","Iliomar","Iliomar II",-8.72887,126.8225
"Mr.","Alvaro","Matos","Volunteer","alvaro.matos@hotmail.com","+(670) 8521-5097","Timor-Leste Red Cross Society",,,,,"Kampungbaru","TL","Liquiçá","Bazartete","Ulmera",-8.57256,125.44723
"Mr.","Eugenio","Hildeberto","Volunteer","eugenio.hildeberto@gmail.com","+(670) 8149-9369","Timor-Leste Red Cross Society",,,,,"Larigua","TL","Baucau","Laga","Tequino Mata",-8.50999,126.58112
"Mr.","Marcos","Fernandes Baptista","Volunteer","marcos.fernandesbaptista@yahoo.com","+(670) 8722-4550","Timor-Leste Red Cross Society",,,,,"Enelaran","TL","Bobonaro","Atabae","Aodabaleten",-8.82812,125.06601
"Mr.","Basilio","Guterres","Volunteer","basilio.guterres@hotmail.com","+(670) 4590-3431","Timor-Leste Red Cross Society",,,,,"Semoro","TL","Oecusse","Pante Macasar","Costa",-9.22087,124.33371
"Ms.","Rosa","Tilman","Volunteer","rosa.tilman@gmail.com","+(670) 7116-4629","Timor-Leste Red Cross Society",,,,,"Larameta","TL","Baucau","Venilale","Uataco",-8.68045,126.43111
"Mr.","Estanislao","Fatima Rebelo","Volunteer","estanislao.fatimarebelo@yahoo.com","+(670) 7629-6046","Timor-Leste Red Cross Society",,,,,"Laikara","TL","Lautém","Lautém","Maina II",-8.44302,126.87056
"Ms.","Florinda","Peneda","Volunteer","florinda.peneda@hotmail.com","+(670) 8312-2158","Timor-Leste Red Cross Society",,,,,"Ililapa","TL","Lautém","Lospalos","Fuiloro",-8.57093,126.98677
"Ms.","Juliana","Barreto","Volunteer","juliana.barreto@gmail.com","+(670) 4631-3624","Timor-Leste Red Cross Society",,,,,"Atus","TL","Bobonaro","Lolotoe","Gildapil",-9.0978,125.191
"Ms.","Rita","Saboga","Volunteer","rita.saboga@yahoo.com","+(670) 6854-6351","Timor-Leste Red Cross Society",,,,,"Chauluturo","TL","Lautém","Lospalos","Fuiloro",-8.45161,127.00807
"Mr.","Juvenal","Lafu","Volunteer","juvenal.lafu@hotmail.com","+(670) 5859-8847","Timor-Leste Red Cross Society",,,,,"Nijamtasa","TL","Oecusse","Pante Macasar","Lalisuc",-9.2416,124.34708
"Mr.","Jaime","Licinia","Volunteer","jaime.licinia@gmail.com","+(670) 3582-5387","Timor-Leste Red Cross Society",,,,,"Kinat","TL","Oecusse","Pante Macasar","Costa",-9.27657,124.41551
"Mr.","Cesar","Antonio Belo","Volunteer","cesar.antoniobelo@yahoo.com","+(670) 7374-2817","Timor-Leste Red Cross Society",,,,,"Namanei","TL","Baucau","Quelicai","Namanei",-8.52216,126.62974
"Mr.","Filomeno","Vidigal dos Santos","Volunteer","filomeno.vidigaldossantos@hotmail.com","+(670) 5333-5673","Timor-Leste Red Cross Society",,,,,"Uaiheda","TL","Viqueque","Ossu","Loi-Huno",-8.78452,126.3779
"Mr.","George","Clara","Volunteer","george.clara@gmail.com","+(670) 4399-6977","Timor-Leste Red Cross Society",,,,,"Masau Bawah","TL","Dili","Cristo Rei","Becora",-8.55689,125.59728
"Mr.","Eli","Pedro Pinto","Volunteer","eli.pedropinto@yahoo.com","+(670) 3923-3859","Timor-Leste Red Cross Society",,,,,"Radeuman","TL","Viqueque","Lacluta","Dilor",-8.84151,126.20933
"Mr.","Sebastiao","da Costa Belo","Volunteer","sebastiao.dacostabelo@hotmail.com","+(670) 6401-7520","Timor-Leste Red Cross Society",,,,,"Uarinana","TL","Baucau","Laga","Tequino Mata",-8.48616,126.59804
"Mr.","Paulino","de Deus Gomes","Volunteer","paulino.dedeusgomes@gmail.com","+(670) 6036-9670","Timor-Leste Red Cross Society",,,,,"Caimalaeho","TL","Baucau","Venilale","Baha Mori",-8.6125,126.42083
"Mr.","Guilherme","Helena","Volunteer","guilherme.helena@yahoo.com","+(670) 6587-4088","Timor-Leste Red Cross Society",,,,,"Lailima","TL","Ainaro","Ainaro","Cassa",-9.13619,125.54041
"Mr.","Heitor","Nunes","Volunteer","heitor.nunes@hotmail.com","+(670) 8697-8134","Timor-Leste Red Cross Society",,,,,"Aileukota","TL","Aileu","Aileu Vila","Seloi Malere",-8.7231,125.56678
"Mr.","Sandra","Cardoso","Volunteer","sandra.cardoso@gmail.com","+(670) 9299-9153","Timor-Leste Red Cross Society",,,,,"Fatukoan","TL","Covalima","Suai","Debos",-9.34261,125.2027
"Mr.","Apolinario","Pereira","Volunteer","apolinario.pereira@yahoo.com","+(670) 3540-5611","Timor-Leste Red Cross Society",,,,,"Terubala","TL","Baucau","Laga","Saelari",-8.49078,126.69527
"Mr.","Kevin","Ojeda","Volunteer","kevin.ojeda@hotmail.com","+(670) 9507-1212","Timor-Leste Red Cross Society",,,,,"Biacau","TL","Bobonaro","Atabae","Aidabaleten",-8.83384,125.05694
"Mr.","Emidia","da Costa Lopes","Volunteer","emidia.dacostalopes@gmail.com","+(670) 3030-4106","Timor-Leste Red Cross Society",,,,,"Lasula","TL","Baucau","Laga","Sagadati",-8.51944,126.69167
"Mr.","Ruben","de Oliveira","Volunteer","ruben.deoliveira@yahoo.com","+(670) 5587-8854","Timor-Leste Red Cross Society",,,,,"Lasuleten","TL","Bobonaro","Balibo","Balibo Vila",-8.95139,125.07222
"Mr.","Fernanda","Sevinate","Volunteer","fernanda.sevinate@hotmail.com","+(670) 3569-5033","Timor-Leste Red Cross Society",,,,,"Maroman","TL","Viqueque","Viqueque","Uma Quic",-8.88099,126.36782
"Mr.","Moises","Roleto","Volunteer","moises.roleto@gmail.com","+(670) 8633-4868","Timor-Leste Red Cross Society",,,,,"Bualale","TL","Viqueque","Uatucarbau","Loi Ulu",-8.68001,126.69952
"Mr.","Luis","Jose","Volunteer","luis.jose@yahoo.com","+(670) 4147-9331","Timor-Leste Red Cross Society",,,,,"Anon","TL","Bobonaro","Lolotoe","Lupal",-9.17928,125.34103
"Ms.","Mónica","Freitas","Volunteer","monica.freitas@hotmail.com","+(670) 7393-7764","Timor-Leste Red Cross Society",,,,,"Bualale","TL","Baucau","Quelicai","Bualale",-8.64342,126.54283
"Mr.","Cornelio","de Fatima","Volunteer","cornelio.defatima@gmail.com","+(670) 4344-6519","Timor-Leste Red Cross Society",,,,,"Hautbititalau","TL","Aileu","Liquidoe","Namoleso",-8.72248,125.65755
"Mr.","Catarina","Chilro","Volunteer","catarina.chilro@yahoo.com","+(670) 1586-9959","Timor-Leste Red Cross Society",,,,,"Folete","TL","Bobonaro","Cailaco","Raiheu",-8.96896,125.30509
"Mr.","Celestino","Caldeira","Volunteer","celestino.caldeira@hotmail.com","+(670) 2288-5217","Timor-Leste Red Cross Society",,,,,"Analulo","TL","Baucau","Baucau","Bahu",-8.46185,126.44774
"Ms.","Meliana","Uva","Volunteer","meliana.uva@gmail.com","+(670) 1762-9539","Timor-Leste Red Cross Society",,,,,"Fiuren","TL","Bobonaro","Balibo","Balibo Vila",-8.95426,125.07879
"Mr.","Bonifacio","Boavida","Volunteer","bonifacio.boavida@yahoo.com","+(670) 6826-8382","Timor-Leste Red Cross Society",,,,,"Kaisera","TL","Ainaro","Hatu-Udo","Foho-ai-Lico",-9.09678,125.68567
"Ms.","Sofia","Godinho","Volunteer","sofia.godinho@hotmail.com","+(670) 2184-2374","Timor-Leste Red Cross Society",,,,,"Lebui","TL","Liquiçá","Liquiçá","Darulete",-8.65922,125.35605
"Mr.","Julio","Adevinha","Volunteer","julio.adevinha@gmail.com","+(670) 1844-3774","Timor-Leste Red Cross Society",,,,,"Paslete","TL","Bobonaro","Cailaco","Atudara",-8.86579,125.22788
"Ms.","Mafalda","Cabecinhas","Volunteer","mafalda.cabecinhas@yahoo.com","+(670) 6926-2187","Timor-Leste Red Cross Society",,,,,"Genulete","TL","Ermera","Atsabe","Atadame/Malabe",-8.93468,125.393
"Mr.","Herculano","Elo","Volunteer","herculano.elo@hotmail.com","+(670) 3210-4957","Timor-Leste Red Cross Society",,,,,"Malushum","TL","Manatuto","Soibada","Leo Hat",-8.86528,125.94535
"Ms.","Joaninha","Pinto Soares","Volunteer","joaninha.pintosoares@gmail.com","+(670) 2875-2836","Timor-Leste Red Cross Society",,,,,"Leotelo","TL","Ainaro","Hatu-Builico","Mau-Chiga",-8.96614,125.53884
"Mr.","Marcos","Ximenes","Volunteer","marcos.ximenes@yahoo.com","+(670) 4197-8738","Timor-Leste Red Cross Society",,,,,"Kuef","TL","Oecusse","Passabe","Abani",-9.47083,124.32361
"Mr.","Edi","Baros","Volunteer","edi.baros@hotmail.com","+(670) 5965-2576","Timor-Leste Red Cross Society",,,,,"Beloi","TL","Dili","Atauro","Beloi",-8.22062,125.60435
"Mr.","Custodio","Palat","Volunteer","custodio.palat@gmail.com","+(670) 7996-3845","Timor-Leste Red Cross Society",,,,,"Kotafoun","TL","Covalima","Tilomar","Lalawa",-9.34349,125.11847
"Ms.","Carlota","Hugo","Volunteer","carlota.hugo@yahoo.com","+(670) 9989-7530","Timor-Leste Red Cross Society",,,,,"Caraubalo","TL","Viqueque","Viqueque","Caraubalo",-8.85898,126.36353
"Mr.","Adelino","Magno Freitas","Volunteer","adelino.magnofreitas@hotmail.com","+(670) 1270-2394","Timor-Leste Red Cross Society",,,,,"Lasula","TL","Baucau","Laga","Sagadati",-8.51944,126.69167
"Mr.","Joel","Duarte","Volunteer","joel.duarte@gmail.com","+(670) 1217-7438","Timor-Leste Red Cross Society",,,,,"Fatukledun","TL","Covalima","Fohorem","Dato Rua",-9.26499,125.05767
"Mr.","Agostinho","Rente","Volunteer","agostinho.rente@yahoo.com","+(670) 9459-5844","Timor-Leste Red Cross Society",,,,,"Rihiu","TL","Liquiçá","Bazartete","Tibar",-8.62042,125.47551
"Mr.","Lucas","Bosco  Soares","Volunteer","lucas.boscosoares@hotmail.com","+(670) 3321-6761","Timor-Leste Red Cross Society",,,,,"Caibolale","TL","Baucau","Baucau","Trilolo",-8.44518,126.35831
"Ms.","Daniela","Moniz","Volunteer","daniela.moniz@gmail.com","+(670) 2358-9467","Timor-Leste Red Cross Society",,,,,"Dorema","TL","Ermera","Railaco","Railaco Leten",-8.68942,125.50185
"Ms.","Xanana","de Jesus Alves","Volunteer","xanana.dejesusalves@yahoo.com","+(670) 5704-7510","Timor-Leste Red Cross Society",,,,,"Leododok","TL","Manatuto","Laclo","Lacumesac",-8.55301,125.90492
"Mr.","Dominikus","Pascoela","Volunteer","dominikus.pascoela@hotmail.com","+(670) 4300-8178","Timor-Leste Red Cross Society",,,,,"Raimaso","TL","Aileu","Aileu Vila","Suco Liurai",-8.77438,125.51814
"Ms.","Emilio","M. Pereira","Volunteer","emilio.m.pereira@gmail.com","+(670) 2553-4164","Timor-Leste Red Cross Society",,,,,"Nunafa","TL","Oecusse","Nitibe","Banafi",-9.39583,124.30833
"Mr.","Venancio","Liub","Volunteer","venancio.liub@yahoo.com","+(670) 7892-6258","Timor-Leste Red Cross Society",,,,,"Radeuman","TL","Viqueque","Lacluta","Dilor",-8.84151,126.20933
"Mr.","Duarte","da Silva","Volunteer","duarte.dasilva@hotmail.com","+(670) 9225-1788","Timor-Leste Red Cross Society",,,,,"Lospalos","TL","Lautém","Lospalos","Fuiloro",-8.51994,126.99433
"Mr.","Lino","Pala","Volunteer","lino.pala@gmail.com","+(670) 8373-4068","Timor-Leste Red Cross Society",,,,,"Alecou Lama","TL","Bobonaro","Maliana","Ritabou",-8.91762,125.15326
"Mr.","José","Rilo","Volunteer","jose.rilo@yahoo.com","+(670) 8543-9837","Timor-Leste Red Cross Society",,,,,"Loegolo","TL","Covalima","Zumalai","Fatuleto",-9.11775,125.41871
"Mr.","Cipriano","Rogerio","Volunteer","cipriano.rogerio@hotmail.com","+(670) 4604-6634","Timor-Leste Red Cross Society",,,,,"Beheda","TL","Manatuto","Laclo","Umacaduac",-8.49429,125.95224
"Mr.","Quito","Bercamns","Volunteer","quito.bercamns@gmail.com","+(670) 4436-9695","Timor-Leste Red Cross Society",,,,,"Baura","TL","Liquiçá","Bazartete","Leorema",-8.65378,125.37199
"Mr.","Hermengildo","da Costa Mariz","Volunteer","hermengildo.dacostamariz@yahoo.com","+(670) 1003-8299","Timor-Leste Red Cross Society",,,,,"Auraba","TL","Baucau","Laga","Sagadati",-8.51846,126.70568
"Mr.","Johanes","Marques","Volunteer","johanes.marques@hotmail.com","+(670) 1891-6749","Timor-Leste Red Cross Society",,,,,"Atelari","TL","Baucau","Laga","Atelari",-8.54694,126.70406
"Mr.","Clementino","de Almeida","Volunteer","clementino.dealmeida@gmail.com","+(670) 4820-1520","Timor-Leste Red Cross Society",,,,,"Leborema","TL","Ermera","Ermera","Raimerhei",-8.82562,125.39371
"Mr.","Noti","F. Branco","Volunteer","noti.f.branco@yahoo.com","+(670) 8693-6530","Timor-Leste Red Cross Society",,,,,"Uaibobo","TL","Baucau","Venilale","Bado Ho'o",-8.6329,126.44116
"Mr.","Edilirio","Xareal","Volunteer","edilirio.xareal@hotmail.com","+(670) 3624-1277","Timor-Leste Red Cross Society",,,,,"Nuahake","TL","Oecusse","Passabe","Abani",-9.46897,124.32117
"Mr.","Angelino","Jaelani","Volunteer","angelino.jaelani@gmail.com","+(670) 1447-2722","Timor-Leste Red Cross Society",,,,,"Riatu","TL","Ermera","Ermera","Estado",-8.79025,125.41704
"Mr.","Lourenco","da Costa","Volunteer","lourenco.dacosta@yahoo.com","+(670) 9747-7895","Timor-Leste Red Cross Society",,,,,"Aileukota","TL","Aileu","Aileu Vila","Seloi Malere",-8.7231,125.56678
"Mr.","Mario","Brites","Volunteer","mario.brites@hotmail.com","+(670) 9218-1777","Timor-Leste Red Cross Society",,,,,"Hohopu","TL","Ermera","Hatolia","Hatolia",-8.81372,125.32252
"Mr.","Donato","Solposto","Volunteer","donato.solposto@gmail.com","+(670) 1831-6095","Timor-Leste Red Cross Society",,,,,"Sibarceon","TL","Aileu","Remexio","Faturasa",-8.6812,125.80573
"Ms.","Joana","Pinto","Volunteer","joana.pinto@yahoo.com","+(670) 7036-4331","Timor-Leste Red Cross Society",,,,,"Laherubi","TL","Baucau","Baucau","Buibau",-8.51242,126.47404
"Mr.","Francisco","de Jesus","Volunteer","francisco.dejesus@hotmail.com","+(670) 2033-3333","Timor-Leste Red Cross Society",,,,,"Riatu","TL","Manufahi","Same","Daisua",-9.09201,125.69256
"Mr.","Sergio","Goncalves","Volunteer","sergio.goncalves@gmail.com","+(670) 6572-3539","Timor-Leste Red Cross Society",,,,,"Bemori Sentral","TL","Dili","Nain Feto","Bemori",-8.55889,125.58528
"Ms.","Ercia","Barros dos Reis","Volunteer","ercia.barrosdosreis@yahoo.com","+(670) 6777-2216","Timor-Leste Red Cross Society",,,,,"One-Bu'u","TL","Baucau","Laga","Sagadati",-8.52348,126.69228
"Ms.","Telma","da Costa Oliveira","Volunteer","telma.dacostaoliveira@hotmail.com","+(670) 8292-7790","Timor-Leste Red Cross Society",,,,,"Maununo","TL","Ainaro","Ainaro","Cassa",-9.14067,125.54087
"Mr.","Durcelina","Amaral","Volunteer","durcelina.amaral@gmail.com","+(670) 1417-5021","Timor-Leste Red Cross Society",,,,,"Riamori","TL","Manufahi","Fatuberliu","Fahinehan",-8.92519,125.75584
"Mr.","Tomas","Zacarias","Volunteer","tomas.zacarias@yahoo.com","+(670) 6651-2040","Timor-Leste Red Cross Society",,,,,"Marae","TL","Viqueque","Uatucarbau","Irabin de Cima",-8.69989,126.71176
"Mr.","Vidiana","Albuquequer","Volunteer","vidiana.albuquequer@hotmail.com","+(670) 9270-7393","Timor-Leste Red Cross Society",,,,,"Manulete","TL","Liquiçá","Bazartete","Leorema",-8.68464,125.38961
"Ms.","Abril","Otilia","Volunteer","abril.otilia@gmail.com","+(670) 2154-3346","Timor-Leste Red Cross Society",,,,,"Sibuni","TL","Bobonaro","Bobonaro","Sibuni",-9.08733,125.33104
"Mr.","Augusto","Polainos","Volunteer","augusto.polainos@yahoo.com","+(670) 2359-9055","Timor-Leste Red Cross Society",,,,,"Malileten","TL","Bobonaro","Balibo","Balibo Vila",-8.93873,125.05739
"Ms.","Graciano","Macedo","Volunteer","graciano.macedo@hotmail.com","+(670) 9565-3348","Timor-Leste Red Cross Society",,,,,"Namanei","TL","Baucau","Baguia","Alaua Craic",-8.6375,126.64444
"Mr.","Domingos","Moises","Volunteer","domingos.moises@gmail.com","+(670) 8838-8789","Timor-Leste Red Cross Society",,,,,"Locileu","TL","Lautém","Iliomar","Fuat",-8.60766,126.88245
"Mr.","Abelito","Horta","Volunteer","abelito.horta@yahoo.com","+(670) 2658-3891","Timor-Leste Red Cross Society",,,,,"Maina 2","TL","Lautém","Lautém","Maina II",-8.46396,126.88076
"Mr.","Agapito","Gohan","Volunteer","agapito.gohan@hotmail.com","+(670) 3216-5427","Timor-Leste Red Cross Society",,,,,"Uatolia","TL","Baucau","Venilale","Uailaha",-8.64727,126.37321
"Mr.","Acacio","Ramos","Volunteer","acacio.ramos@gmail.com","+(670) 7973-6868","Timor-Leste Red Cross Society",,,,,"Denehuni","TL","Aileu","Aileu Vila","Lahae",-8.78771,125.56124
"Mr.","Natalino","de Carvalho","Volunteer","natalino.decarvalho@yahoo.com","+(670) 3617-6416","Timor-Leste Red Cross Society",,,,,"Hatulete","TL","Ainaro","Maubisse","Maulau",-8.78706,125.6797
"Ms.","Isabel","Fahik Batak","Volunteer","isabel.fahikbatak@hotmail.com","+(670) 9250-1014","Timor-Leste Red Cross Society",,,,,"Oges","TL","Covalima","Maucatar","Ogues",-9.26491,125.21452
"Ms.","Beatriz","Maia","Volunteer","beatriz.maia@gmail.com","+(670) 5525-4159","Timor-Leste Red Cross Society",,,,,"Lisalara","TL","Liquiçá","Maubara","Gugleur",-8.66591,125.18613
"Mr.","Marcelino","Moio","Volunteer","marcelino.moio@yahoo.com","+(670) 9953-2237","Timor-Leste Red Cross Society",,,,,"Butufalo","TL","Baucau","Laga","Soba",-8.48663,126.61849
"Mr.","Marcelo","Sereno","Volunteer","marcelo.sereno@hotmail.com","+(670) 3106-1152","Timor-Leste Red Cross Society",,,,,"Tetumori","TL","Viqueque","Uatucarbau","Afaloicai",-8.66687,126.65799
"Mr.","Justiano","Gorette","Volunteer","justiano.gorette@gmail.com","+(670) 6912-8026","Timor-Leste Red Cross Society",,,,,"Hatali","TL","Ermera","Ermera","Humboe",-8.7689,125.43549
"Ms.","Soraia","Alex","Volunteer","soraia.alex@yahoo.com","+(670) 4325-9994","Timor-Leste Red Cross Society",,,,,"Uatumissa","TL","Baucau","Venilale","Uaiolo",-8.66471,126.42423
