"Course","Organisation","Facility","Start","End","Hours","Sex","First Name","Last Name","Email"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Lospalos Branch Office","2012-01-30","2012-01-30",4,"Mr.","Marcos","Dias Gomes","marcos.diasgomes@yahoo.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Lospalos Branch Office","2012-01-30","2012-01-30",4,"Mr.","Cesar","Ojeda","cesar.ojeda@yahoo.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Lospalos Branch Office","2012-01-30","2012-01-30",4,"Mr.","Catarina","Baros","catarina.baros@yahoo.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Lospalos Branch Office","2012-01-30","2012-01-30",4,"Mr.","Julio","Rente","julio.rente@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Lospalos Branch Office","2012-01-30","2012-01-30",4,"Mr.","Clementino","Barros dos Reis","clementino.barrosdosreis@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Lospalos Branch Office","2012-01-30","2012-01-30",4,"Mr.","Francisco","Moises","francisco.moises@hotmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Lospalos Branch Office","2012-01-30","2012-01-30",4,"Mr.","Durcelina","de Carvalho","durcelina.decarvalho@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Lospalos Branch Office","2012-01-30","2012-01-30",4,"Ms.","Isabel","Rafael","isabel.rafael@hotmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Lospalos Branch Office","2012-01-30","2012-01-30",4,"Mr.","Agusto","Direitinho","agusto.direitinho@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Lospalos Branch Office","2012-01-30","2012-01-30",4,"Mr.","Carlito","Fatima Rebelo","carlito.fatimarebelo@hotmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Lospalos Branch Office","2012-01-30","2012-01-30",4,"Mr.","Alvaro","Licinia","alvaro.licinia@hotmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Lospalos Branch Office","2012-01-30","2012-01-30",4,"Mr.","George","Godinho ","george.godinho@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Lospalos Branch Office","2012-01-30","2012-01-30",4,"Mr.","Cornelio","Pascoela","cornelio.pascoela@gmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Manatuto Branch Office","2012-01-09","2012-01-10",16,"Ms.","Alexandra","Tilman","alexandra.tilman@hotmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Manatuto Branch Office","2012-01-09","2012-01-10",16,"Mr.","Eli","Sevinate","eli.sevinate@yahoo.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Manatuto Branch Office","2012-01-09","2012-01-10",16,"Mr.","Guilherme ","Freitas","guilherme.freitas@yahoo.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Manatuto Branch Office","2012-01-09","2012-01-10",16,"Mr.","Marcos","Pascoela","marcos.pascoela@yahoo.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Manatuto Branch Office","2012-01-09","2012-01-10",16,"Mr.","Angelino","Zacarias","angelino.zacarias@gmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Manatuto Branch Office","2012-01-09","2012-01-10",16,"Ms.","Ercia","Gohan","ercia.gohan@yahoo.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Manatuto Branch Office","2012-01-09","2012-01-10",16,"Ms.","Beatriz","Gomes","beatriz.gomes@gmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Manatuto Branch Office","2012-01-09","2012-01-10",16,"Mr.","Marcelino","da Vidigal","marcelino.davidigal@yahoo.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Manatuto Branch Office","2012-01-09","2012-01-10",16,"Mr.","Marcelo","Jose da C.","marcelo.josedac@hotmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Manatuto Branch Office","2012-01-09","2012-01-10",16,"Ms.","Adriana","Batuca","adriana.batuca@yahoo.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Manatuto Branch Office","2012-01-09","2012-01-10",16,"Mr.","Abrao","Mali Mau","abrao.malimau@hotmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Manatuto Branch Office","2012-01-09","2012-01-10",16,"Mr.","Eduarda","Nunes","eduarda.nunes@hotmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Manatuto Branch Office","2012-01-09","2012-01-10",16,"Mr.","Dinis","Fernandes Baptista","dinis.fernandesbaptista@hotmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Manatuto Branch Office","2012-02-06","2012-02-06",4,"Mr.","Basilio","Clara","basilio.clara@hotmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Manatuto Branch Office","2012-02-06","2012-02-06",4,"Ms.","Juliana","Helena","juliana.helena@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Manatuto Branch Office","2012-02-06","2012-02-06",4,"Mr.","Paulino","Elo","paulino.elo@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Manatuto Branch Office","2012-02-06","2012-02-06",4,"Mr.","Sandra","Baros","sandra.baros@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Manatuto Branch Office","2012-02-06","2012-02-06",4,"Ms.","Carlota","Jaelani","carlota.jaelani@yahoo.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Manatuto Branch Office","2012-02-06","2012-02-06",4,"Mr.","Domingos","dos Santos","domingos.dossantos@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Manatuto Branch Office","2012-02-06","2012-02-06",4,"Ms.","Adriana","Belo","adriana.belo@yahoo.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Manatuto Branch Office","2012-02-06","2012-02-06",4,"Mr.","Ruben","Rilo","ruben.rilo@yahoo.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Manatuto Branch Office","2012-02-06","2012-02-06",4,"Mr.","Donato","Jose da C.","donato.josedac@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Manatuto Branch Office","2012-02-06","2012-02-06",4,"Mr.","Guido","Clara","guido.clara@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Manatuto Branch Office","2012-02-06","2012-02-06",4,"Ms.","Joaquim","Freitas","joaquim.freitas@hotmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Manatuto Branch Office","2012-02-06","2012-02-06",4,"Ms.","Xanana","Rodriques","xanana.rodriques@yahoo.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Manatuto Branch Office","2012-02-06","2012-02-06",4,"Ms.","Beatriz","Direitinho","beatriz.direitinho@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Manatuto Branch Office","2012-02-06","2012-02-06",4,"Ms.","Liliana","Vidigal dos Santos","liliana.vidigaldossantos@yahoo.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Manatuto Branch Office","2012-02-06","2012-02-06",4,"Mr.","Lauriano","Chilro","lauriano.chilro@gmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Same Branch Office","2012-01-12","2012-01-13",16,"Mr.","Quito","Pinto","quito.pinto@gmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Same Branch Office","2012-01-12","2012-01-13",16,"Mr.","Abelito","Rodriques","abelito.rodriques@yahoo.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Same Branch Office","2012-01-12","2012-01-13",16,"Mr.","Justiano","Martins","justiano.martins@gmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Same Branch Office","2012-01-12","2012-01-13",16,"Ms.","Joana","Bruno","joana.bruno@yahoo.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Same Branch Office","2012-01-12","2012-01-13",16,"Ms.","Rita","Nunes","rita.nunes@yahoo.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Same Branch Office","2012-01-12","2012-01-13",16,"Mr.","Jaime","Caldeira","jaime.caldeira@gmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Same Branch Office","2012-01-12","2012-01-13",16,"Mr.","Heitor","Ximenes","heitor.ximenes@hotmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Same Branch Office","2012-01-12","2012-01-13",16,"Mr.","Ruben","Duarte","ruben.duarte@yahoo.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Same Branch Office","2012-02-13","2012-02-13",4,"Mr.","Custodio","Xareal","custodio.xareal@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Same Branch Office","2012-02-13","2012-02-13",4,"Ms.","Ercia","da Cunha","ercia.dacunha@yahoo.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Same Branch Office","2012-02-13","2012-02-13",4,"Mr.","Apolonius","Gouveia Leite","apolonius.gouveialeite@yahoo.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Same Branch Office","2012-02-13","2012-02-13",4,"Mr.","Eduarda","Direitinho","eduarda.direitinho@hotmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Same Branch Office","2012-02-13","2012-02-13",4,"Mr.","Lauriano","Polido","lauriano.polido@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Same Branch Office","2012-02-13","2012-02-13",4,"Ms.","Alexandra","Pedro Pinto","alexandra.pedropinto@hotmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Same Branch Office","2012-02-13","2012-02-13",4,"Mr.","Agostinho","Polainos","agostinho.polainos@yahoo.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Same Branch Office","2012-02-13","2012-02-13",4,"Mr.","Angelino","Rafael","angelino.rafael@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Same Branch Office","2012-02-13","2012-02-13",4,"Ms.","Ercia","Saboga","ercia.saboga@yahoo.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Viqueque Branch Office","2012-02-02","2012-02-02",16,"Mr.","Mario","Otilia","mario.otilia@hotmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Viqueque Branch Office","2012-02-02","2012-02-02",16,"Mr.","Agapito","da Cunha","agapito.dacunha@hotmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Viqueque Branch Office","2012-02-02","2012-02-02",16,"Mr.","Paul","Baptista","paul.baptista@yahoo.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Viqueque Branch Office","2012-02-02","2012-02-02",16,"Mr.","Cesar","Uva","cesar.uva@yahoo.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Viqueque Branch Office","2012-02-02","2012-02-02",16,"Ms.","Xanana","Goncalves","xanana.goncalves@yahoo.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Viqueque Branch Office","2012-02-02","2012-02-02",16,"Mr.","Agapito","Saboga","agapito.saboga@hotmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Viqueque Branch Office","2012-02-02","2012-02-02",16,"Mr.","Yakobus","Nunes","yakobus.nunes@yahoo.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Viqueque Branch Office","2012-02-02","2012-02-02",16,"Ms.","Mariana","Domingas","mariana.domingas@gmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Viqueque Branch Office","2012-02-02","2012-02-02",16,"Ms.","Liliana","Fernandes Baptista","liliana.fernandesbaptista@yahoo.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Viqueque Branch Office","2012-02-02","2012-02-02",16,"Mr.","Agusto","Tilman","agusto.tilman@gmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Viqueque Branch Office","2012-02-02","2012-02-02",16,"Mr.","Goku","Lafu","goku.lafu@hotmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Viqueque Branch Office","2012-02-02","2012-02-02",16,"Mr.","Alegria","Bruno","alegria.bruno@gmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Viqueque Branch Office","2012-02-02","2012-02-02",16,"Mr.","Alcino","Antonio Belo","alcino.antoniobelo@hotmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Viqueque Branch Office","2012-02-02","2012-02-02",16,"Ms.","Florinda","Jose","florinda.jose@hotmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Viqueque Branch Office","2012-02-02","2012-02-02",16,"Mr.","Bonifacio","da Costa","bonifacio.dacosta@yahoo.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Viqueque Branch Office","2012-02-02","2012-02-02",16,"Mr.","Edi","da Costa Oliveira","edi.dacostaoliveira@hotmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Viqueque Branch Office","2012-02-02","2012-02-02",16,"Mr.","Noti","Mondego","noti.mondego@yahoo.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Viqueque Branch Office","2012-02-02","2012-02-02",16,"Mr.","Durcelina","Noel Sila","durcelina.noelsila@gmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Viqueque Branch Office","2012-02-02","2012-02-02",16,"Ms.","Graciano","Gusmão ","graciano.gusmao@hotmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Viqueque Branch Office","2012-02-02","2012-02-02",16,"Ms.","Elly ","Rosmaninho","elly.rosmaninho@hotmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Viqueque Branch Office","2012-02-02","2012-02-02",16,"Mr.","Yakobus","Direitinho","yakobus.direitinho@yahoo.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Viqueque Branch Office","2012-02-20","2012-02-20",4,"Mr.","Aleixo","Hildeberto","aleixo.hildeberto@hotmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Viqueque Branch Office","2012-02-20","2012-02-20",4,"Mr.","Agusto","de Deus","agusto.dedeus@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Viqueque Branch Office","2012-02-20","2012-02-20",4,"Mr.","Josefa","Nunes","josefa.nunes@hotmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Viqueque Branch Office","2012-02-20","2012-02-20",4,"Ms.","Joana","Pereira","joana.pereira@yahoo.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Viqueque Branch Office","2012-02-20","2012-02-20",4,"Mr.","Nuno","da Costa Lopes","nuno.dacostalopes@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Viqueque Branch Office","2012-02-20","2012-02-20",4,"Mr.","Felix","de Fatima","felix.defatima@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Viqueque Branch Office","2012-02-20","2012-02-20",4,"Mr.","Ruben","Brites","ruben.brites@yahoo.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Viqueque Branch Office","2012-02-20","2012-02-20",4,"Mr.","Fernanda","Solposto","fernanda.solposto@hotmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Viqueque Branch Office","2012-02-20","2012-02-20",4,"Ms.","Carlota","Fahik Batak","carlota.fahikbatak@yahoo.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Viqueque Branch Office","2012-02-20","2012-02-20",4,"Mr.","Venancio","Paulo","venancio.paulo@yahoo.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Viqueque Branch Office","2012-02-20","2012-02-20",4,"Mr.","Francisco","de Araujo","francisco.dearaujo@hotmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Viqueque Branch Office","2012-02-20","2012-02-20",4,"Mr.","Augusto","Domingas","augusto.domingas@yahoo.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Viqueque Branch Office","2012-02-20","2012-02-20",4,"Ms.","Graciano","Cune","graciano.cune@hotmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Viqueque Branch Office","2012-02-20","2012-02-20",4,"Mr.","Domingos","Diamentino","domingos.diamentino@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Viqueque Branch Office","2012-02-20","2012-02-20",4,"Mr.","Natalino","Rosmaninho","natalino.rosmaninho@yahoo.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Viqueque Branch Office","2012-02-20","2012-02-20",4,"Mr.","Antonio","Licinia","antonio.licinia@hotmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Viqueque Branch Office","2012-02-20","2012-02-20",4,"Ms.","Margarida","Clara","margarida.clara@hotmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Viqueque Branch Office","2012-02-20","2012-02-20",4,"Mr.","Alcino","Uva","alcino.uva@hotmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Viqueque Branch Office","2012-02-20","2012-02-20",4,"Mr.","Nuno","Boavida","nuno.boavida@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Viqueque Branch Office","2012-02-20","2012-02-20",4,"Mr.","Nilton","Elo","nilton.elo@yahoo.com"
