"Project Name","Activities","Country","L1","L2","L3","L4","Lat","Lon","ContactPerson","Comments","Beneficiaries:Individuals","Beneficiaries:Families","Beneficiaries:Pupils","Beneficiaries:Teachers","Beneficiaries:Men","Beneficiaries:Women"
"Community School Building Renewal","School Safety","Timor-Leste","Lautém","Lautém","Pairara","Puno","-8.42927","126.93611","Beatriz,Sevinate,beatriz.sevinate@gmail.com,",,,,312,24,,
"Community School Building Renewal","School Safety","Timor-Leste","Manatuto","Laclubar","Funar","Batamac","-8.75332","125.9","Marcelino,Roleto,marcelino.roleto@yahoo.com,",,,,320,32,,
"Community School Building Renewal","School Safety","Timor-Leste","Baucau","Quelicai","Lelalai","Uabuu","-8.64559","126.50566","Marcelo,Jose,marcelo.jose@hotmail.com,",,,,143,13,,
"Community School Building Renewal","School Safety","Timor-Leste","Ainaro","Hatu-Udo","Leolima","Nonuboka","-9.13307","125.59534","Justiano,Freitas,justiano.freitas@gmail.com,",,,,920,23,,
"Community School Building Renewal","School Safety","Timor-Leste","Covalima","Suai","Debos","Asumaten","-9.31861","125.26101","Soraia,de Fatima,soraia.defatima@yahoo.com,",,,,648,24,,
"Community School Building Renewal","School Safety","Timor-Leste","Manufahi","Same","Daisua","Lesulau","-9.08097","125.68315","Lucio,Chilro,lucio.chilro@hotmail.com,",,,,2254,46,,
"Community School Building Renewal","School Safety","Timor-Leste","Viqueque","Ossu","Loi-Huno","Buanurak","-8.83085","126.37455","Cláudia,Caldeira,claudia.caldeira@gmail.com,",,,,576,32,,
"Community School Building Renewal","School Safety","Timor-Leste","Manufahi","Alas","Mahaquidan","Wedauberek","-9.12083","125.85278","Adriana,Uva,adriana.uva@yahoo.com,",,,,228,12,,
"Community School Building Renewal","School Safety","Timor-Leste","Manufahi","Turiscai","Liurai","Binimalo","-8.83166","125.72915","Elly ,Boavida,elly.boavida@hotmail.com,",,,,465,31,,
"Community School Building Renewal","School Safety","Timor-Leste","Aileu","Laulara","Fatisi","Sabereke","-8.64573","125.5267","Orlando,Godinho ,orlando.godinho@gmail.com,",,,,1600,50,,
"Community School Building Renewal","School Safety","Timor-Leste","Covalima","Maucatar","Ogues","Oges","-9.26491","125.21452","Yakobus,Adevinha,yakobus.adevinha@yahoo.com,",,,,585,13,,
"Fishing Livelihoods Improvement","Livelihoods, Capacity Building","Timor-Leste","Bobonaro","Lolotoe","Gildapil","Gildapil","-9.12149","125.21228","Abrao,Cabecinhas,abrao.cabecinhas@hotmail.com,",,,,,,29,
"Fishing Livelihoods Improvement","Livelihoods, Capacity Building","Timor-Leste","Liquiçá","Maubara","Vatuvou","Watubau","-8.64984","125.26259","Mariana,Elo,mariana.elo@gmail.com,",,,,,,12,
"Fishing Livelihoods Improvement","Livelihoods, Capacity Building","Timor-Leste","Aileu","Aileu Vila","Suco Liurai","Maurusa","-8.74522","125.51559","Andreia,Pinto Soares,andreia.pintosoares@yahoo.com,",,,,,,19,
"Fishing Livelihoods Improvement","Livelihoods, Capacity Building","Timor-Leste","Bobonaro","Bobonaro","Bobonaro","Lepo","-9.04311","125.35841","Maria,Ximenes,maria.ximenes@hotmail.com,",,,,,,13,
"Fishing Livelihoods Improvement","Livelihoods, Capacity Building","Timor-Leste","Baucau","Laga","Atelari","Auraba","-8.55694","126.69167","Mariano,Baros,mariano.baros@gmail.com,",,,,,,24,
"Fishing Livelihoods Improvement","Livelihoods, Capacity Building","Timor-Leste","Bobonaro","Cailaco","Meligo","Daulelo","-8.87854","125.23523","Apolonius,Palat,apolonius.palat@yahoo.com,",,,,,,40,
"Fishing Livelihoods Improvement","Livelihoods, Capacity Building","Timor-Leste","Ermera","Hatolia","Coliate-Leotelo","Martulete","-8.82309","125.37867","Aleixo,Hugo,aleixo.hugo@hotmail.com,",,,,,,12,
"Fishing Livelihoods Improvement","Livelihoods, Capacity Building","Timor-Leste","Oecusse","Oesilo","Bobometo","Oenoa","-9.32601","124.37428","Erculano,Magno Freitas,erculano.magnofreitas@gmail.com,",,,,,,14,
"Fishing Livelihoods Improvement","Livelihoods, Capacity Building","Timor-Leste","Lautém","Lautém","Maina I","Daulaturo","-8.39538","126.91078","Vanessa,Duarte,vanessa.duarte@yahoo.com,",,,,,,18,
"Fishing Livelihoods Improvement","Livelihoods, Capacity Building","Timor-Leste","Baucau","Baucau","Triloca","Angkasabaru","-8.49578","126.36563","Eduarda,Rente,eduarda.rente@hotmail.com,",,,,,,26,
"Road Safety Campaign","Advocacy","Timor-Leste","Covalima","Suai","Beco","Haemanu","-9.25387","125.34518","Jessica,Bosco  Soares,jessica.boscosoares@gmail.com,",,,,1188,27,,
"Road Safety Campaign","Advocacy","Timor-Leste","Manatuto","Barique/Natarbora","Aubeon","Buburlolon","-8.98212","126.06151","Manuel,Moniz,manuel.moniz@yahoo.com,",,,,484,44,,
"Road Safety Campaign","Advocacy","Timor-Leste","Liquiçá","Maubara","Vatuvou","Lisalara","-8.64304","125.22638","Marito,de Jesus Alves,marito.dejesusalves@hotmail.com,",,,,792,33,,
"Road Safety Campaign","Advocacy","Timor-Leste","Ermera","Hatolia","Ailelo","Lukulaulau","-8.81806","125.30833","Martinho,Pascoela,martinho.pascoela@gmail.com,",,,,420,15,,
"Road Safety Campaign","Advocacy","Timor-Leste","Ainaro","Maubisse","Maubisse","Rileko","-8.83205","125.59131","Leonito,M. Pereira,leonito.m.pereira@yahoo.com,",,,,448,16,,
"Road Safety Campaign","Advocacy","Timor-Leste","Viqueque","Watulari","Uaitame","Naidala","-8.8037","126.54842","Antonio,Liub,antonio.liub@hotmail.com,",,,,420,42,,
"Road Safety Campaign","Advocacy","Timor-Leste","Bobonaro","Cailaco","Purugoa","Sabarakalara","-8.85638","125.2235","Afonso,da Silva,afonso.dasilva@gmail.com,",,,,1760,40,,
"Road Safety Campaign","Advocacy","Timor-Leste","Ainaro","Ainaro","Ainaro","Kertapati","-8.98464","125.50353","Liliana,Pala,liliana.pala@yahoo.com,",,,,1015,35,,
"Road Safety Campaign","Advocacy","Timor-Leste","Liquiçá","Maubara","Vatuvou","Samanaro","-8.63013","125.25124","Margarida,Rilo,margarida.rilo@hotmail.com,",,,,616,44,,
"Road Safety Campaign","Advocacy","Timor-Leste","Lautém","Tutuala","Tutuala","Loro","-8.39909","127.25094","Agusto,Rogerio,agusto.rogerio@gmail.com,",,,,989,23,,
"Water Supply Enhancement","Water Supply","Timor-Leste","Manatuto","Barique/Natarbora","Abat Oan","Ranac","-8.97295","126.06049","Januario,Bercamns,januario.bercamns@yahoo.com,",,360,,,,,
"Water Supply Enhancement","Water Supply","Timor-Leste","Viqueque","Uatucarbau","Uani Uma","Uaniuma","-8.75577","126.68472","Marcus,da Costa Mariz,marcus.dacostamariz@hotmail.com,",,149,,,,,
"Water Supply Enhancement","Water Supply","Timor-Leste","Dili","Nain Feto","Acadiru Hun","Nubadak","-8.55194","125.58944","Abel,Marques,abel.marques@gmail.com,",,498,,,,,
"Water Supply Enhancement","Water Supply","Timor-Leste","Covalima","Maucatar","Ogues","Ogues","-9.29206","125.23198","Diana,de Almeida,diana.dealmeida@yahoo.com,",,264,,,,,
"Water Supply Enhancement","Water Supply","Timor-Leste","Ainaro","Ainaro","Cassa","Bemoris","-9.13367","125.54511","Goku,F. Branco,goku.f.branco@hotmail.com,",,487,,,,,
"Water Supply Enhancement","Water Supply","Timor-Leste","Oecusse","Oesilo","Bobometo","Afumalule","-9.34039","124.36924","Alegria,Xareal,alegria.xareal@gmail.com,",,390,,,,,
"Water Supply Enhancement","Water Supply","Timor-Leste","Ainaro","Hatu-Udo","Leolima","Bonuk","-9.21533","125.53972","Manuela,Jaelani,manuela.jaelani@yahoo.com,",,157,,,,,
"Water Supply Enhancement","Water Supply","Timor-Leste","Viqueque","Uatucarbau","Afaloicai","Alooli",-8.692,"126.64028","Dinis,da Costa,dinis.dacosta@hotmail.com,",,293,,,,,
"Water Supply Enhancement","Water Supply","Timor-Leste","Covalima","Maucatar","Holpilat","Lela","-9.18974","125.20682","Guido,Brites,guido.brites@gmail.com,",,155,,,,,
"Water Supply Enhancement","Water Supply","Timor-Leste","Viqueque","Viqueque","Bibileo","Fatuhosa","-8.96557","126.27034","Miguel,Solposto,miguel.solposto@yahoo.com,",,384,,,,,
"WatSan Infrastructure Improvement","Water Supply","Timor-Leste","Ermera","Hatolia","Coliate-Leotelo","Regoa","-8.79975","125.37554","Carlito,Pinto,carlito.pinto@hotmail.com,",,,237,,,,
"WatSan Infrastructure Improvement","Water Supply","Timor-Leste","Bobonaro","Atabae","Hataz","Lahuluh","-8.85911","125.18014","Joao,de Jesus,joao.dejesus@gmail.com,",,,294,,,,
"WatSan Infrastructure Improvement","Water Supply","Timor-Leste","Viqueque","Viqueque","Uma Quic","Luwa","-8.87808","126.36649","Paulo,Goncalves,paulo.goncalves@yahoo.com,",,,98,,,,
"WatSan Infrastructure Improvement","Water Supply","Timor-Leste","Ermera","Railaco","Lihu","Kamal Pun","-8.67068","125.42774","Josefa,Barros dos Reis,josefa.barrosdosreis@hotmail.com,",,,147,,,,
"WatSan Infrastructure Improvement","Water Supply","Timor-Leste","Lautém","Iliomar","Cainliu","Tatalalarin","-8.69137","126.81563","Lauriano,da Costa Oliveira,lauriano.dacostaoliveira@gmail.com,",,,208,,,,
"WatSan Infrastructure Improvement","Water Supply","Timor-Leste","Dili","Dom Aleixo","Comoro","Lesibutak","-8.57861","125.53472","Joana,Amaral,joana.amaral@yahoo.com,",,,142,,,,
"WatSan Infrastructure Improvement","Water Supply","Timor-Leste","Oecusse","Passabe","Abani","Fauteso","-9.46093","124.32628","Alcino,Zacarias,alcino.zacarias@hotmail.com,",,,181,,,,
"WatSan Infrastructure Improvement","Water Supply","Timor-Leste","Oecusse","Oesilo","Bobometo","Benais","-9.33848","124.36344","Nuno,Albuquequer,nuno.albuquequer@gmail.com,",,,196,,,,
"WatSan Infrastructure Improvement","Water Supply","Timor-Leste","Lautém","Lospalos","Fuiloro","Chaiuacha Baru","-8.52942","126.98185","Paul,Otilia,paul.otilia@yahoo.com,",,,292,,,,
"WatSan Infrastructure Improvement","Water Supply","Timor-Leste","Covalima","Zumalai","Raimea","Oebaba","-9.18892","125.51618","Alexandra,Polainos,alexandra.polainos@hotmail.com,",,,65,,,,
"DRR Mainstreaming","Mainstreaming DRR","Timor-Leste","Ainaro","Hatu-Udo","Foho-ai-Lico","Lebumera","-9.11055","125.66023","Sirilia,Macedo,sirilia.macedo@gmail.com,",,241,,,,,
"DRR Mainstreaming","Mainstreaming DRR","Timor-Leste","Viqueque","Uatucarbau","Loi Ulu","Denihare","-8.67639","126.69861","Nilton,Moises,nilton.moises@yahoo.com,",,447,,,,,
"DRR Mainstreaming","Mainstreaming DRR","Timor-Leste","Oecusse","Oesilo","Usi-Tacae","Bono","-9.37129","124.34711","Joaquim,Horta,joaquim.horta@hotmail.com,",,334,,,,,
"DRR Mainstreaming","Mainstreaming DRR","Timor-Leste","Oecusse","Pante Macasar","Nipani","Mopo","-9.1794","124.46894","Felix,Gohan,felix.gohan@gmail.com,",,472,,,,,
"DRR Mainstreaming","Mainstreaming DRR","Timor-Leste","Covalima","Tilomar","Foholulic","Maubesi","-9.33059","125.06442","Severina,Ramos,severina.ramos@yahoo.com,",,452,,,,,
"DRR Mainstreaming","Mainstreaming DRR","Timor-Leste","Manufahi","Fatuberliu","Caicasa","Sucairau","-9.0466","125.95266","Alvaro,de Carvalho,alvaro.decarvalho@hotmail.com,",,260,,,,,
"DRR Mainstreaming","Mainstreaming DRR","Timor-Leste","Baucau","Venilale","Bado Ho'o","Uatubela Oli","-8.60402","126.39672","Eugenio,Fahik Batak,eugenio.fahikbatak@gmail.com,",,443,,,,,
"DRR Mainstreaming","Mainstreaming DRR","Timor-Leste","Manufahi","Same","Daisua","Loti","-9.08238","125.68872","Marcos,Maia,marcos.maia@yahoo.com,",,473,,,,,
"DRR Mainstreaming","Mainstreaming DRR","Timor-Leste","Lautém","Lospalos","Lore I","Lore","-8.64306","127.01944","Basilio,Moio,basilio.moio@hotmail.com,",,203,,,,,
"DRR Mainstreaming","Mainstreaming DRR","Timor-Leste","Manufahi","Alas","Mahaquidan","Alas","-9.02025","125.78933","Rosa,Sereno,rosa.sereno@gmail.com,",,438,,,,,
"DRR School Curriculum Development","School Safety, Children's Education","Timor-Leste","Bobonaro","Bobonaro","Malilait","Uat","-9.0229","125.3197","Estanislao,Gorette,estanislao.gorette@yahoo.com,",,,,341,11,,
"DRR School Curriculum Development","School Safety, Children's Education","Timor-Leste","Ermera","Hatolia","Fatubessi","Matanova","-8.73846","125.32105","Florinda,Alex,florinda.alex@hotmail.com,",,,,924,33,,
"DRR School Curriculum Development","School Safety, Children's Education","Timor-Leste","Oecusse","Pante Macasar","Cunha","Nopai","-9.25694","124.34861","Juliana,Rodriques,juliana.rodriques@gmail.com,",,,,480,30,,
"DRR School Curriculum Development","School Safety, Children's Education","Timor-Leste","Manatuto","Barique/Natarbora","Manehat","Dambohum","-8.91402","125.96817","Rita,da Cunha,rita.dacunha@yahoo.com,",,,,208,13,,
"DRR School Curriculum Development","School Safety, Children's Education","Timor-Leste","Viqueque","Watulari","Afaloicai","Siquilari","-8.74964","126.52186","Juvenal,Mondego,juvenal.mondego@hotmail.com,",,,,1360,34,,
"DRR School Curriculum Development","School Safety, Children's Education","Timor-Leste","Liquiçá","Maubara","Vatuvou","Samanaro","-8.64359","125.23961","Jaime,Noel Sila,jaime.noelsila@gmail.com,",,,,1247,29,,
"DRR School Curriculum Development","School Safety, Children's Education","Timor-Leste","Viqueque","Uatucarbau","Irabin de Cima","Uatobita","-8.69722","126.71111","Cesar,Ximenes,cesar.ximenes@yahoo.com,",,,,403,13,,
"DRR School Curriculum Development","School Safety, Children's Education","Timor-Leste","Aileu","Laulara","Fatisi","Lebihin","-8.64426","125.53166","Filomeno,Quefi,filomeno.quefi@hotmail.com,",,,,645,15,,
"DRR School Curriculum Development","School Safety, Children's Education","Timor-Leste","Viqueque","Uatucarbau","Uani Uma","Kapuas","-8.75913","126.65734","George,Mali Mau,george.malimau@gmail.com,",,,,1845,45,,
"DRR School Curriculum Development","School Safety, Children's Education","Timor-Leste","Dili","Cristo Rei","Becora","Malikeo","-8.58398","125.60474","Eli,Zolo,eli.zolo@yahoo.com,",,,,690,46,,
"Primary Healthcare Capacity Building","Capacity Building","Timor-Leste","Manatuto","Laleia","Cairui","Hatusili","-8.60575","126.1467","Sebastiao,Gusmão,sebastiao.gusmao@hotmail.com,",,108,,,,,
"Primary Healthcare Capacity Building","Capacity Building","Timor-Leste","Ermera","Letefoho","Lauana","Rigoa","-8.89665","125.40495","Paulino,de Araujo,paulino.dearaujo@gmail.com,",,454,,,,,
"Primary Healthcare Capacity Building","Capacity Building","Timor-Leste","Bobonaro","Bobonaro","Lourba","Ohobin","-9.0191","125.36539","Guilherme ,Aparicio,guilherme.aparicio@yahoo.com,",,371,,,,,
"Primary Healthcare Capacity Building","Capacity Building","Timor-Leste","Ermera","Atsabe","Obulo","Lakubu","-8.97345","125.37309","Heitor,Botelheiro,heitor.botelheiro@hotmail.com,",,134,,,,,
"Primary Healthcare Capacity Building","Capacity Building","Timor-Leste","Ermera","Hatolia","Mau-Ubu","Groto","-8.73606","125.35217","Sandra,Belo,sandra.belo@gmail.com,",,371,,,,,
"Primary Healthcare Capacity Building","Capacity Building","Timor-Leste","Ermera","Letefoho","Eraulo","Saharaitaurema","-8.8267","125.49028","Apolinario,Goveia Leite,apolinario.goveialeite@yahoo.com,",,137,,,,,
"Primary Healthcare Capacity Building","Capacity Building","Timor-Leste","Lautém","Lospalos","Fuiloro","Trisula","-8.44028","126.99583","Kevin,Idalina,kevin.idalina@hotmail.com,",,379,,,,,
"Primary Healthcare Capacity Building","Capacity Building","Timor-Leste","Bobonaro","Atabae","Aidabaleten","Fatulagung","-8.79577","125.10496","Emidia,Nunes,emidia.nunes@gmail.com,",,315,,,,,
"Primary Healthcare Capacity Building","Capacity Building","Timor-Leste","Lautém","Iliomar","Tirilolo","Boropai","-8.69931","126.79609","Ruben,Cromos,ruben.cromos@yahoo.com,",,303,,,,,
"Primary Healthcare Capacity Building","Capacity Building","Timor-Leste","Baucau","Laga","Saelari","Lari-Ledana","-8.47683","126.70854","Fernanda,Domingas,fernanda.domingas@hotmail.com,",,469,,,,,
