"Template","Series","Organisation","STD-L0","STD-L1","STD-L2","STD-L3","STD-Lat","STD-Lon",,"24H-2","24H-5","STD-DATE","STD-TIME","24H-1","24H-3","STD-WHO","24H-4","24H-6","24H-7","24H-8","24H-9","24H-10","24H-11","24H-12","24H-13","24H-14","24H-15","24H-16","24H-17","24H-18","24H-26","24H-27","24H-28","24H-34","24H-35","24H-36","24H-19","24H-20","24H-21","24H-22","24H-23","24H-24","24H-25","24H-37","24H-38","24H-39","24H-40","24H-41","24H-42","24H-43","24H-44","24H-45","24H-46","24H-47","24H-48","24H-29","24H-30","24H-31","24H-32","24H-33"
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Ainaro","Hatu-Udo","Leolima",-9.11987,125.58872,"No","+(670) 6772-2458","11/03/12","10:13","Tropical Storm Bulegila",899,"Mr. Marcelo Otilia","Mr. Guilherme  Adevinha",54,18,27,65,32,568,351,135,396,288,,,"Boat",,,,,,,,,,,,,,,,,,,,,"No","Yes","Yes","Timor-Leste Emergency Response Corp","Rural","No","No","No","No","Groto",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Manufahi","Alas","Mahaquidan",-9.02114,125.79641,"No","+(670) 4318-9783","12/03/12","15:59","Tropical Storm Bulegila",626,"Mr. Lucas Godinho ","Mr. Liliana Soares",19,19,13,31,20,377,357,69,194,313,,,"Boat",,,,,,,,,,,,,,,,,,,,,"Yes","Don't Know","Don't Know",,"Rural","No","No","No","No","Cnuaalas",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Lautem","Lautem","Com",-8.34144,127.02377,"No","+(670) 5630-4320","13/03/12","12:39","Tropical Storm Bulegila",961,"Mr. Clàudia Horta","Mr. Mafalda Gohan",38,19,19,50,48,734,173,384,605,490,,,"Boat",,,,,,,,,,,,,,,,,,,,,"No","Don't Know","Yes","Helping Hands International","Rural","No","No","No","No","Etipiti",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Manatuto","Barique/Natarbora","Barique",-8.84709,126.06484,"No","+(670) 9648-3971","14/03/12","8:28","Tropical Storm Bulegila",2526,"Ms. Herculano Cabecinhas","Ms. Mariano Soares",152,51,76,162,126,1839,1516,960,1339,859,,,"Air or Boat",,,,,,,,,,,,,,,,,,,,,"Don't Know","Don't Know","Yes","Timor-Leste Emergency Response Corp","Urban","No","No","No","No","Caunua",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Viqueque","Uatucarbau","Uani Uma",-8.75708,126.6848,"No","+(670) 9938-6573","15/03/12","9:00","Tropical Storm Bulegila",907,"Mr. Vidiana Xareal","Mr. Apolinario da Silva",36,27,18,63,36,814,662,327,644,327,,,"Boat",,,,,,,,,,,,,,,,,,,,,"No","Yes","Yes","Helping Hands International","Rural","No","No","No","No","Uatucarbau",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Ainaro","Hatu-Udo","Leolima",-9.10784,125.58114,"No","+(670) 7042-6570","16/03/12","12:53","Tropical Storm Bulegila",1059,"Mr. Nilton Direitinho","Ms. Agostinho Boavida",42,21,32,64,51,648,688,318,540,307,,,"Boat",,,,,,,,,,,,,,,,,,,,,"No","Yes","Yes","Helping Hands International","Peri-Urban","No","No","No","No","Raesoro",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Manufahi","Alas","Mahaquidan",-9.02327,125.78904,"No","+(670) 1164-5907","17/03/12","12:38","Tropical Storm Bulegila",346,"Ms. Josefa Domingas","Ms. Maria de Jesus",21,7,10,28,12,208,221,159,270,131,,,"Boat",,,,,,,,,,,,,,,,,,,,,"Don't Know","Don't Know","Yes","Timor-Leste Emergency Response Corp","Rural","No","No","No","No","Umamean",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Lautem","Lautem","Baduro",-8.45368,126.88738,"No","+(670) 9995-4431","18/03/12","11:59","Tropical Storm Bulegila",1856,"Mr. Jaime de Fatima ","Mr. Acacio Barros dos Reis",111,37,37,108,67,1399,780,1095,742,724,,,"Boat",,,,,,,,,,,,,,,,,,,,,"Yes","No","Yes","Helping Hands International","Peri-Urban","No","No","No","No","Luandau",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Manatuto","Barique/Natarbora","Manehat",-8.91371,125.97151,"No","+(670) 8202-4144","19/03/12","17:16","Tropical Storm Bulegila",317,"Mr. Emidia Licinia","Mr. Orlando de Carvalho",19,10,10,23,12,298,35,174,51,76,,,"Boat",,,,,,,,,,,,,,,,,,,,,"No","Yes","Yes","Timor-Leste Emergency Response Corp","Rural","No","No","No","No","Fatobalon",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Viqueque","Uatucarbau","Uani Uma",-8.75462,126.68839,"No","+(670) 3794-1575","20/03/12","15:35","Tropical Storm Bulegila",1078,"Mr. Maria Pascoela","Mr. Mafalda Hildeberto",43,22,22,80,54,80,701,226,248,571,,,"Boat",,,,,,,,,,,,,,,,,,,,,"Don't Know","No","Don't Know",,"Peri-Urban","No","No","No","No","Tanalale",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Ainaro","Hatu-Udo","Leolima",-9.21533,125.53972,"Yes","+(670) 3092-8278","1/03/12","10:48","Tropical Storm Bulegila",933,"Mr. Rosa Fernandes Baptista","Ms. Soraia Arriaga",19,9,9,7,7,0,0,0,0,0,,,"Road or Boat",,,,,,,,,,,,,,,,,,,,,"Yes","No","Yes","Helping Hands International","Rural","No","No","No","No","Bonuk",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Ainaro","Ainaro","Cassa",-9.1011,125.52688,"Yes","+(670) 2664-1088","2/03/12","16:45","Tropical Storm Bulegila",317,"Mr. Daniela Adevinha","Ms. Estanislao Guterres",10,0,3,0,3,0,0,0,0,0,,,"Road or Boat",,,,,,,,,,,,,,,,,,,,,"Don't Know","Yes","Don't Know",,"Rural","No","No","No","No","Betama",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Ainaro","Ainaro","Ainaro",-8.97558,125.50048,"Yes","+(670) 7210-3632","3/03/12","15:46","Tropical Storm Bulegila",352,"Mr. Abelito de Jesus","Mr. Johanes Bosco  Soares",0,4,0,3,1,0,0,0,0,0,,,"Road or Boat",,,,,,,,,,,,,,,,,,,,,"Yes","Don't Know","No",,"Rural","No","No","No","No","Sabagulau",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Ainaro","Ainaro","Cassa",-9.1343,125.54358,"Yes","+(670) 9486-4884","4/03/12","15:36","Tropical Storm Bulegila",1010,"Mr. Juvenal Barreto","Mr. Jaime de Fatima ",20,0,0,12,8,0,0,0,0,0,,,"Road or Boat",,,,,,,,,,,,,,,,,,,,,"Don't Know","Don't Know","Don't Know",,"Peri-Urban","No","No","No","No","Pebago",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Ainaro","Maubisse","Manetu",-8.87917,125.66389,"Yes","+(670) 1449-1085","5/03/12","15:08","Tropical Storm Bulegila",254,"Mr. Eugenio de Jesus","Mr. Agusto Noel Sila",5,0,0,0,3,0,0,0,0,0,,,"Road or Boat",,,,,,,,,,,,,,,,,,,,,"Don't Know","Yes","Yes","Timor-Leste Emergency Response Corp","Rural","No","No","No","No","Maulau",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Ainaro","Hatu-Builico","Mulo",-8.89101,125.56567,"Yes","+(670) 1209-2434","6/03/12","13:44","Tropical Storm Bulegila",1128,"Ms. Orlando de Carvalho","Mr. Joana Da Costa",34,11,11,18,11,0,0,0,0,0,,,"Road or Boat",,,,,,,,,,,,,,,,,,,,,"Yes","Yes","Don't Know",,"Peri-Urban","No","No","No","No","Maulahulu",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Manufahi","Same","Holarua",-8.93611,125.62222,"Yes","+(670) 2580-3548","7/03/12","15:03","Tropical Storm Bulegila",448,"Mr. Carlota Chilro","Mr. Daniela Adevinha",4,0,4,8,3,0,0,0,0,0,,,"Road or Boat",,,,,,,,,,,,,,,,,,,,,"Yes","Yes","Yes","Timor-Leste Emergency Response Corp","Rural","No","No","No","No","Fahiluhan",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Manufahi","Same","Holarua",-8.90719,125.66203,"Yes","+(670) 8576-3592","8/03/12","18:24","Tropical Storm Bulegila",770,"Mr. Ruben Pereira","Mr. Ahmad Jaelani",8,0,8,11,2,0,0,0,0,0,,,"Road or Boat",,,,,,,,,,,,,,,,,,,,,"Yes","Yes","No",,"Rural","No","No","No","No","Deunai",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Manufahi","Same","Tutuluro",-8.9824,125.69278,"Yes","+(670) 9719-1282","9/03/12","16:16","Tropical Storm Bulegila",695,"Mr. Juliana Fatima Rebelo","Ms. Adelino Caldeira",14,7,0,11,0,0,0,0,0,0,,,"Road or Boat",,,,,,,,,,,,,,,,,,,,,"Yes","Don't Know","Yes","Timor-Leste Emergency Response Corp","Rural","No","No","No","No","Socemera",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Manufahi","Turiscai","Aitemua",-8.8435,125.69016,"Yes","+(670) 7341-1881","10/03/12","12:22","Tropical Storm Bulegila",318,"Mr. Eduardo Rilo","Ms. Juliana Fatima Rebelo",0,3,3,5,1,0,0,0,0,0,,,"Road or Boat",,,,,,,,,,,,,,,,,,,,,"No","Yes","Don't Know",,"Rural","No","No","No","No","Laclo",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Manufahi","Fatuberliu","Caicasa",-9.0466,125.95266,"Yes","+(670) 1517-8454","11/03/12","8:39","Tropical Storm Bulegila",279,"Mr. Jose Hendrigue Pinto","Mr. Maria dos Santos",3,0,0,2,2,0,0,0,0,0,,,"Road or Boat",,,,,,,,,,,,,,,,,,,,,"No","No","No",,"Rural","No","No","No","No","Sucairau",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Manufahi","Alas","Taitudac",-9.01481,125.7907,"Yes","+(670) 2958-5699","12/03/12","14:19","Tropical Storm Bulegila",1010,"Mr. Margarida Sevinate","Ms. Joana Diamentino",30,10,10,14,6,0,0,0,0,0,,,"Road or Boat",,,,,,,,,,,,,,,,,,,,,"Yes","No","Don't Know",,"Peri-Urban","No","No","No","No","Ailora",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Lautem","Lospalos","Lore I",-8.60905,127.02014,"Yes","+(670) 4440-5258","13/03/12","16:38","Tropical Storm Bulegila",485,"Mr. Vidiana Xareal","Ms. Paulo Polainos",0,5,0,4,2,0,0,0,0,0,,,"Road or Boat",,,,,,,,,,,,,,,,,,,,,"No","Yes","No",,"Rural","No","No","No","No","Raca",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Lautem","Lospalos","Muapitine",-8.51464,127.10251,"Yes","+(670) 8747-2515","14/03/12","16:19","Tropical Storm Bulegila",996,"Mr. Graciano Pereira","Mr. Luis Pedro Pinto",10,10,10,12,10,0,0,0,0,0,,,"Road or Boat",,,,,,,,,,,,,,,,,,,,,"Don't Know","Don't Know","Don't Know",,"Rural","No","No","No","No","Pehefito",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Manatuto","Laclo","Lacumesac",-8.58427,125.86528,"Yes","+(670) 7369-4727","15/03/12","9:56","Tropical Storm Bulegila",889,"Mr. Marito da Cunha","Mr. Agostinho Boavida",0,0,9,5,2,0,0,0,0,0,,,"Road or Boat",,,,,,,,,,,,,,,,,,,,,"Yes","Yes","Don't Know",,"Rural","No","No","No","No","Maloroc",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Lautem","Lautem","Parlamento",-8.34689,126.94464,"Yes","+(670) 3467-9833","16/03/12","13:20","Tropical Storm Bulegila",2654,"Mr. Rosa Fernandes Baptista","Mr. Duarte Guterres",0,27,0,5,16,0,0,0,0,0,,,"Road or Boat",,,,,,,,,,,,,,,,,,,,,"Don't Know","No","Yes","Timor-Leste Emergency Response Corp","Urban","No","No","No","No","Serenica",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Manatuto","Laclo","Lacumesac",-8.55544,125.90885,"Yes","+(670) 2116-5469","17/03/12","17:26","Tropical Storm Bulegila",577,"Mr. Sebastiao da Costa","Mr. Mariano Soares",6,6,0,10,5,0,0,0,0,0,,,"Road or Boat",,,,,,,,,,,,,,,,,,,,,"Yes","Yes","Yes","Helping Hands International","Rural","No","No","No","No","Laclo",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Manatuto","Laclubar","Sanana'in",-8.64044,125.97612,"Yes","+(670) 2892-7925","18/03/12","13:30","Tropical Storm Bulegila",443,"Mr. Dinis Botelheiro","Mr. Domingos Xavier",4,0,4,3,0,0,0,0,0,0,,,"Road or Boat",,,,,,,,,,,,,,,,,,,,,"Yes","Yes","Yes","Timor-Leste Emergency Response Corp","Rural","No","No","No","No","Fatuuk",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Lautem","Luro","Cotamutu",-8.51389,126.83333,"Yes","+(670) 7499-6285","19/03/12","11:18","Tropical Storm Bulegila",1252,"Ms. Natalino Soares","Ms. Januario Ximenes",13,13,13,25,13,0,0,0,0,0,,,"Road or Boat",,,,,,,,,,,,,,,,,,,,,"Yes","No","Don't Know",,"Peri-Urban","No","No","No","No","Luro",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Lautem","Lospalos","Cacavem",-8.57222,126.88472,"Yes","+(670) 7113-9917","20/03/12","11:30","Tropical Storm Bulegila",691,"Mr. Dinis Botelheiro","Ms. Mariano Soares",14,7,7,14,3,0,0,0,0,0,,,"Road or Boat",,,,,,,,,,,,,,,,,,,,,"No","Yes","Yes","Helping Hands International","Rural","No","No","No","No","Maluro",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Manufahi","Turiscai","Liurai",-8.8327,125.72708,"Yes","+(670) 1543-2801","21/03/12","13:44","Tropical Storm Bulegila",321,"Ms. Joao Nunes","Mr. Clàudia Ximenes",3,3,0,3,3,0,0,0,0,0,,,"Road or Boat",,,,,,,,,,,,,,,,,,,,,"Yes","No","Don't Know",,"Rural","No","No","No","No","Fohonaro",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Manufahi","Turiscai","Lesuata",-8.76667,125.76111,"Yes","+(670) 5416-5253","22/03/12","14:39","Tropical Storm Bulegila",1121,"Ms. Celestino Nunes","Ms. Estanislao Guterres",0,0,11,7,9,0,0,0,0,0,,,"Road or Boat",,,,,,,,,,,,,,,,,,,,,"No","No","Don't Know",,"Peri-Urban","No","No","No","No","Namoluti",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Lautem","Iliomar","Fuat",-8.69859,126.86152,"Yes","+(670) 2445-7448","23/03/12","18:37","Tropical Storm Bulegila",655,"Mr. Cornelio de Deus Gomes","Ms. Maria dos Santos",20,7,0,7,5,0,0,0,0,0,,,"Road or Boat",,,,,,,,,,,,,,,,,,,,,"Yes","Yes","Yes","Helping Hands International","Rural","No","No","No","No","Rumotau",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Manatuto","Laclubar","Manelima",-8.779,125.92503,"Yes","+(670) 5758-7825","24/03/12","16:15","Tropical Storm Bulegila",1198,"Mr. Duarte Guterres","Ms. Joao Pinto Soares",36,0,0,2,10,0,0,0,0,0,,,"Road or Boat",,,,,,,,,,,,,,,,,,,,,"No","Yes","No",,"Peri-Urban","No","No","No","No","Maneatun",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Viqueque","Uatucarbau","Afaloicai",-8.65139,126.65694,"Yes","+(670) 5243-2454","25/03/12","16:42","Tropical Storm Bulegila",1162,"Mr. Maria Gorette","Mr. Natalino Soares",23,12,0,0,5,0,0,0,0,0,,,"Road or Boat",,,,,,,,,,,,,,,,,,,,,"Don't Know","Yes","Don't Know",,"Peri-Urban","No","No","No","No","Samalari",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Viqueque","Uatucarbau","Irabin de Baixo",-8.74884,126.70252,"Yes","+(670) 1027-2178","26/03/12","14:56","Tropical Storm Bulegila",2381,"Mr. Afonso Alves","Mr. Tomas F. Branco",24,24,24,0,19,0,0,0,0,0,,,"Road or Boat",,,,,,,,,,,,,,,,,,,,,"No","Don't Know","Yes","Helping Hands International","Urban","No","No","No","No","Irabinleteria",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Viqueque","Viqueque","Uai-Mori",-8.85925,126.35082,"Yes","+(670) 8361-4615","27/03/12","13:20","Tropical Storm Bulegila",161,"Mr. Basilio de Araujo","Mr. Clàudia Horta",2,0,0,3,2,0,0,0,0,0,,,"Road or Boat",,,,,,,,,,,,,,,,,,,,,"No","Yes","Don't Know",,"Rural","No","No","No","No","Uatulesu",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Viqueque","Uatucarbau","Afaloicai",-8.65721,126.62713,"Yes","+(670) 9757-2660","28/03/12","14:36","Tropical Storm Bulegila",821,"Mr. Marcus Quefi","Mr. Joaninha de Jesus",8,0,8,3,3,0,0,0,0,0,,,"Road or Boat",,,,,,,,,,,,,,,,,,,,,"No","No","Yes","Helping Hands International","Rural","No","No","No","No","Locohu",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Viqueque","Viqueque","Uai-Mori",-8.85925,126.35082,"Yes","+(670) 3483-6085","29/03/12","15:51","Tropical Storm Bulegila",843,"Mr. Joel Uva","Mr. Juvenal Barreto",0,8,8,2,7,0,0,0,0,0,,,"Road or Boat",,,,,,,,,,,,,,,,,,,,,"No","Yes","Yes","Helping Hands International","Rural","No","No","No","No","Uatulesu",
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","Viqueque","Lacluta","Dilor",-8.84007,126.21223,"Yes","+(670) 7341-4971","30/03/12","18:44","Tropical Storm Bulegila",1320,"Ms. Herculano","Ms. Adelino Cabecinhas",13,0,13,8,8,0,0,0,0,0,,,"Road or Boat",,,,,,,,,,,,,,,,,,,,,"Yes","Yes","Don't Know",,"Peri-Urban","No","No","No","No","Caiua",
