"Sex","First Name","Last Name","Type","Email","Mobile Phone","Organisation","Acronym","Office Phone","Office","Title","Home Address","Home Country","Home L1","Home L2","Home L3","Home Lat","Home Lon"
"Mr.","Paul","Salvador","Volunteer","paul.salvador@hotmail.com","+(670) 4639-3551","Timor-Leste Red Cross Society","CVTL",,,,"Hedamea","TL","Ermera","Hatolia","Hatolia",-8.82409,125.32266
"Ms.","Duarte","Guterres","Volunteer","duarte.guterres@hotmail.com","+(670) 6004-8196","Timor-Leste Red Cross Society","CVTL",,,,"Mautobalau","TL","Aileu","Aileu Vila","Seloi Craic",-8.71296,125.48791
"Mr.","Jaime","da Silva","Volunteer","jaime.dasilva@gmail.com","+(670) 4327-7315","Timor-Leste Red Cross Society","CVTL",,,,"Charano","TL","Lautem","Lospalos","Cacavem",-8.59469,126.88854
"Mr.","Domingos","Cune","Volunteer","domingos.cune@hotmail.com","+(670) 2611-9149","Timor-Leste Red Cross Society","CVTL",,,,"Caunua","TL","Manatuto","Barique/Natarbora","Barique",-8.84709,126.06484
"Mr.","Martinho","Jose da C.","Volunteer","martinho.josedac.@yahoo.com","+(670) 5295-1204","Timor-Leste Red Cross Society","CVTL",,,,"Sarlala","TL","Aileu","Aileu Vila","Seloi Craic",-8.67454,125.5507
"Mr.","Nuno","Pereira","Volunteer","nuno.pereira@yahoo.com","+(670) 8371-2372","Timor-Leste Red Cross Society","CVTL",,,,"Vatalara","TL","Lautem","Lospalos","Cacavem",-8.56221,126.89902
"Mr.","Herculano","Cabecinhas","Volunteer","herculano.cabecinhas@gmail.com","+(670) 7358-3044","Timor-Leste Red Cross Society","CVTL",,,,"Raimaten","TL","Bobonaro","Maliana","Lahomea",-8.9884,125.22017
"Mr.","Mario","dos Santos","Volunteer","mario.dossantos@gmail.com","+(670) 1818-7216","Timor-Leste Red Cross Society","CVTL",,,,"Hatomanuc","TL","Manatuto","Laclubar","Manelima",-8.79088,125.93067
"Mr.","Diana","Zolo","Volunteer","diana.zolo@hotmail.com","+(670) 6166-3906","Timor-Leste Red Cross Society","CVTL",,,,"Fatucahi","TL","Manufahi","Fatuberliu","Fatucahi",-9.03412,125.98864
"Mr.","Antonio","dos Santos","Volunteer","antonio.dossantos@gmail.com","+(670) 4169-1104","Timor-Leste Red Cross Society","CVTL",,,,"Betoria","TL","Viqueque","Uatucarbau","Irabin de Baixo",-8.74656,126.69775
"Ms.","Maria","de Jesus","Volunteer","maria.dejesus@hotmail.com","+(670) 7187-1430","Timor-Leste Red Cross Society","CVTL",,,,"Lelalai","TL","Baucau","Quelicai","Lelalai",-8.65705,126.51793
"Mr.","Eduardo","Rilo","Volunteer","eduardo.rilo@hotmail.com","+(670) 7391-9251","Timor-Leste Red Cross Society","CVTL",,,,"Banitur","TL","Liquiçá","Liquiçá","Leoteala",-8.68995,125.29288
"Ms.","Telma","Marques","Volunteer","telma.marques@hotmail.com","+(670) 9459-1197","Timor-Leste Red Cross Society","CVTL",,,,"Manufahi","TL","Manatuto","Soibada","Manufahi",-8.83087,125.9218
"Mr.","José","Hugo","Volunteer","jose.hugo@gmail.com","+(670) 3436-2535","Timor-Leste Red Cross Society","CVTL",,,,"Aimerulu","TL","Ermera","Hatolia","Hatolia",-8.81285,125.32802
"Mr.","Eduardo","Rilo","Volunteer","eduardo.rilo@hotmail.com","+(670) 5301-1620","Timor-Leste Red Cross Society","CVTL",,,,"Holarua","TL","Manufahi","Same","Holarua",-8.98654,125.65921
"Mr.","Kevin","Polido","Volunteer","kevin.polido@gmail.com","+(670) 6967-4214","Timor-Leste Red Cross Society","CVTL",,,,"Molop","TL","Bobonaro","Bobonaro","Molop",-9.10457,125.34015
"Mr.","Nilton","Direitinho","Volunteer","nilton.direitinho@hotmail.com","+(670) 5723-9817","Timor-Leste Red Cross Society","CVTL",,,,"Natura","TL","Lautem","Lospalos","Fuiloro",-8.52639,126.99583
"Mr.","Soraia","Arriaga","Volunteer","soraia.arriaga@hotmail.com","+(670) 5295-4445","Timor-Leste Red Cross Society","CVTL",,,,"Larigua","TL","Baucau","Laga","Tequino Mata",-8.50999,126.58112
"Mr.","Sebastiao","da Costa","Volunteer","sebastiao.dacosta@yahoo.com","+(670) 7894-3693","Timor-Leste Red Cross Society","CVTL",,,,"Lukowai","TL","Ermera","Atsabe","Atadame/Malabe",-8.92639,125.3826
"Mr.","Juliana","Fatima Rebelo","Volunteer","juliana.fatimarebelo@gmail.com","+(670) 7098-9677","Timor-Leste Red Cross Society","CVTL",,,,"Matanova","TL","Ermera","Hatolia","Fatubessi",-8.73846,125.32105
"Mr.","Sofia","Ojeda","Volunteer","sofia.ojeda@yahoo.com","+(670) 3065-6071","Timor-Leste Red Cross Society","CVTL",,,,"Uatumissa","TL","Baucau","Venilale","Uaiolo",-8.66471,126.42423
"Mr.","Ruben","Freitas","Volunteer","ruben.freitas@yahoo.com","+(670) 9875-7147","Timor-Leste Red Cross Society","CVTL",,,,"Masilihu","TL","Dili","Atauro","Maquili",-8.29041,125.58532
"Ms.","Vidiana","Xareal","Volunteer","vidiana.xareal@hotmail.com","+(670) 5563-5348","Timor-Leste Red Cross Society","CVTL",,,,"Fatukakae","TL","Bobonaro","Balibo","Balibo Vila",-8.96062,125.02772
"Mr.","Filomeno","Bruno","Volunteer","filomeno.bruno@yahoo.com","+(670) 2959-3602","Timor-Leste Red Cross Society","CVTL",,,,"Condar","TL","Manatuto","Laclo","Umacaduac",-8.53194,125.96111
"Ms.","Alexandra","Botelheiro","Volunteer","alexandra.botelheiro@gmail.com","+(670) 5621-8454","Timor-Leste Red Cross Society","CVTL",,,,"Tudoula","TL","Baucau","Baucau","Wailili",-8.54348,126.47209
"Mr.","Domingos","Lafu","Volunteer","domingos.lafu@hotmail.com","+(670) 6988-1374","Timor-Leste Red Cross Society","CVTL",,,,"Setiara","TL","Lautem","Lospalos","Fuiloro",-8.4854,126.97956
"Mr.","Filomeno","de Araujo","Volunteer","filomeno.dearaujo@hotmail.com","+(670) 8536-6002","Timor-Leste Red Cross Society","CVTL",,,,"Kulau","TL","Dili","Cristo Rei","Becora",-8.57235,125.60504
"Mr.","Domingos","Cune","Volunteer","domingos.cune@gmail.com","+(670) 5242-4750","Timor-Leste Red Cross Society","CVTL",,,,"Lesuaben","TL","Bobonaro","Cailaco","Meligo",-8.92566,125.25696
"Mr.","Mariana","Moio","Volunteer","mariana.moio@gmail.com","+(670) 5106-3215","Timor-Leste Red Cross Society","CVTL",,,,"Samalai","TL","Manatuto","Laleia","Cairui",-8.57651,126.1601
"Mr.","Mariana","Moio","Volunteer","mariana.moio@hotmail.com","+(670) 4500-9191","Timor-Leste Red Cross Society","CVTL",,,,"Vila","TL","Dili","Atauro","Atauro Vila/Maumeta",-8.26368,125.60152
"Ms.","Abel","Mali Mau","Volunteer","abel.malimau@gmail.com","+(670) 4589-6352","Timor-Leste Red Cross Society","CVTL",,,,"Hatoposi","TL","Ermera","Ermera","Ponilala",-8.72294,125.38564
"Mr.","Lourenco","Liub","Volunteer","lourenco.liub@hotmail.com","+(670) 2070-6739","Timor-Leste Red Cross Society","CVTL",,,,"Priramatan","TL","Dili","Metinaro","Duyung (Sereia)",-8.52973,125.75058
"Ms.","Maria","Cromos","Volunteer","maria.cromos@gmail.com","+(670) 5710-8330","Timor-Leste Red Cross Society","CVTL",,,,"Uatoue","TL","Baucau","Baucau","Wailili",-8.56806,126.47639
"Mr.","Joaninha","Xavier","Volunteer","joaninha.xavier@hotmail.com","+(670) 9010-3403","Timor-Leste Red Cross Society","CVTL",,,,"Naulale","TL","Baucau","Vemase","Uatu-Lari",-8.57411,126.33477
"Mr.","Alexandra","Botelheiro","Volunteer","alexandra.botelheiro@gmail.com","+(670) 6412-1943","Timor-Leste Red Cross Society","CVTL",,,,"Alaua","TL","Baucau","Baguia","Alaua Leten",-8.62425,126.67677
"Ms.","Angelino","M. Pereira","Volunteer","angelino.m.pereira@gmail.com","+(670) 3397-2416","Timor-Leste Red Cross Society","CVTL",,,,"Limanaro","TL","Bobonaro","Atabae","Rairobo",-8.7935,125.1452
"Ms.","Joana","Diamentino","Volunteer","joana.diamentino@gmail.com","+(670) 2301-3616","Timor-Leste Red Cross Society","CVTL",,,,"Goulau","TL","Ainaro","Hatu-Udo","Leolima",-9.11476,125.58599
"Ms.","Jaime","da Silva","Volunteer","jaime.dasilva@hotmail.com","+(670) 8276-5493","Timor-Leste Red Cross Society","CVTL",,,,"Lautekas","TL","Liquiçá","Maubara","Gugleur",-8.66314,125.15637
"Ms.","Paulo","Antonio Belo","Volunteer","paulo.antoniobelo@yahoo.com","+(670) 9102-2754","Timor-Leste Red Cross Society","CVTL",,,,"Faut","TL","Oecusse","Oesilo","Bobometo",-9.30671,124.34798
"Ms.","Sirilia","dos Santos Barros","Volunteer","sirilia.dossantosbarros@yahoo.com","+(670) 6089-8017","Timor-Leste Red Cross Society","CVTL",,,,"Akadirularan","TL","Ainaro","Hatu-Udo","Foho-ai-Lico",-9.14431,125.64102
"Mr.","Graciano","Pereira","Volunteer","graciano.pereira@gmail.com","+(670) 4583-9576","Timor-Leste Red Cross Society","CVTL",,,,"Leubasa","TL","Ermera","Letefoho","Lauana",-8.89275,125.42469
"Ms.","Luis","Pedro Pinto","Volunteer","luis.pedropinto@yahoo.com","+(670) 7704-6453","Timor-Leste Red Cross Society","CVTL",,,,"Holitol","TL","Covalima","Zumalai","Raimea",-9.18797,125.49722
"Mr.","Erculano","da Cunha","Volunteer","erculano.dacunha@gmail.com","+(670) 8964-5491","Timor-Leste Red Cross Society","CVTL",,,,"Waidua","TL","Baucau","Baucau","Samalari",-8.52827,126.4811
"Mr.","Cesar","Bruno","Volunteer","cesar.bruno@gmail.com","+(670) 1139-5256","Timor-Leste Red Cross Society","CVTL",,,,"Kerolisa","TL","Dili","Vera Cruz","Dare",-8.60323,125.58052
"Mr.","Joao","Baptista","Volunteer","joao.baptista@hotmail.com","+(670) 4272-3369","Timor-Leste Red Cross Society","CVTL",,,,"Orbeto","TL","Ermera","Atsabe","Leimea Leten",-8.88995,125.37951
"Mr.","Mariano","da Costa Belo","Volunteer","mariano.dacostabelo@gmail.com","+(670) 9713-7408","Timor-Leste Red Cross Society","CVTL",,,,"Maulore","TL","Ainaro","Ainaro","Ainaro",-8.99508,125.49941
"Mr.","Ruben","Pereira","Volunteer","ruben.pereira@gmail.com","+(670) 4904-5285","Timor-Leste Red Cross Society","CVTL",,,,"Auraba","TL","Baucau","Laga","Atelari",-8.55694,126.69167
"Mr.","Joao","Baptista","Volunteer","joao.baptista@gmail.com","+(670) 2024-5330","Timor-Leste Red Cross Society","CVTL",,,,"Ossufaso","TL","Lautem","Luro","Luro",-8.54715,126.83158
"Mr.","Maria","Idalina","Volunteer","maria.idalina@gmail.com","+(670) 5023-4418","Timor-Leste Red Cross Society","CVTL",,,,"Charano","TL","Lautem","Lospalos","Cacavem",-8.59469,126.88854
"Mr.","Paulino","de Deus","Volunteer","paulino.dedeus@hotmail.com","+(670) 4665-9041","Timor-Leste Red Cross Society","CVTL",,,,"Kakai","TL","Manufahi","Fatuberliu","Fahinehan",-8.99722,125.72917
"Mr.","Maria","Cromos","Volunteer","maria.cromos@hotmail.com","+(670) 4969-1567","Timor-Leste Red Cross Society","CVTL",,,,"Goubin","TL","Bobonaro","Balibo","Leolima",-8.86916,125.07361
"Mr.","Afonso","Alves","Volunteer","afonso.alves@gmail.com","+(670) 3876-6524","Timor-Leste Red Cross Society","CVTL",,,,"Futatas","TL","Bobonaro","Balibo","Cowa",-9.02258,124.99537
"Mr.","Justiano","Belo","Volunteer","justiano.belo@gmail.com","+(670) 3784-2031","Timor-Leste Red Cross Society","CVTL",,,,"Poelete","TL","Bobonaro","Cailaco","Atudara",-8.86876,125.23294
"Mr.","Angelino","M. Pereira","Volunteer","angelino.m.pereira@hotmail.com","+(670) 8729-1842","Timor-Leste Red Cross Society","CVTL",,,,"Datina","TL","Manufahi","Same","Holarua",-8.93606,125.63105
"Mr.","Joaquim","de Carvalho","Volunteer","joaquim.decarvalho@gmail.com","+(670) 2339-9141","Timor-Leste Red Cross Society","CVTL",,,,"Erilo","TL","Liquiçá","Maubara","Gugleur",-8.65208,125.17105
"Ms.","Emilio","dos Santos","Volunteer","emilio.dossantos@gmail.com","+(670) 8495-3306","Timor-Leste Red Cross Society","CVTL",,,,"Madaraira","TL","Lautem","Iliomar","Iliomar II",-8.72887,126.8225
"Mr.","Acacio","Barros dos Reis","Volunteer","acacio.barrosdosreis@gmail.com","+(670) 8521-5097","Timor-Leste Red Cross Society","CVTL",,,,"Kampungbaru","TL","Liquiçá","Bazartete","Ulmera",-8.57256,125.44723
"Ms.","Agostinho","Boavida","Volunteer","agostinho.boavida@gmail.com","+(670) 8149-9369","Timor-Leste Red Cross Society","CVTL",,,,"Larigua","TL","Baucau","Laga","Tequino Mata",-8.50999,126.58112
"Mr.","Miguel","Goveia Leite","Volunteer","miguel.goveialeite@hotmail.com","+(670) 8722-4550","Timor-Leste Red Cross Society","CVTL",,,,"Enelaran","TL","Bobonaro","Atabae","Aodabaleten",-8.82812,125.06601
"Mr.","Alexandra","Rosmaninho","Volunteer","alexandra.rosmaninho@hotmail.com","+(670) 4590-3431","Timor-Leste Red Cross Society","CVTL",,,,"Semoro","TL","Oecusse","Pante Macasar","Costa",-9.22087,124.33371
"Mr.","Telma","Otilia","Volunteer","telma.otilia@yahoo.com","+(670) 7116-4629","Timor-Leste Red Cross Society","CVTL",,,,"Larameta","TL","Baucau","Venilale","Uataco",-8.68045,126.43111
"Mr.","Alexandra","Rosmaninho","Volunteer","alexandra.rosmaninho@gmail.com","+(670) 7629-6046","Timor-Leste Red Cross Society","CVTL",,,,"Laikara","TL","Lautem","Lautem","Maina II",-8.44302,126.87056
"Mr.","Eli","Dias Gomes","Volunteer","eli.diasgomes@hotmail.com","+(670) 8312-2158","Timor-Leste Red Cross Society","CVTL",,,,"Ililapa","TL","Lautem","Lospalos","Fuiloro",-8.57093,126.98677
"Mr.","Mafalda","Hildeberto","Volunteer","mafalda.hildeberto@yahoo.com","+(670) 4631-3624","Timor-Leste Red Cross Society","CVTL",,,,"Atus","TL","Bobonaro","Lolotoe","Gildapil",-9.0978,125.191
"Mr.","Paulo","Polainos","Volunteer","paulo.polainos@yahoo.com","+(670) 6854-6351","Timor-Leste Red Cross Society","CVTL",,,,"Chauluturo","TL","Lautem","Lospalos","Fuiloro",-8.45161,127.00807
"Mr.","Hermengildo","Rente","Volunteer","hermengildo.rente@hotmail.com","+(670) 5859-8847","Timor-Leste Red Cross Society","CVTL",,,,"Nijamtasa","TL","Oecusse","Pante Macasar","Lalisuc",-9.2416,124.34708
"Mr.","Paul","Salvador","Volunteer","paul.salvador@yahoo.com","+(670) 3582-5387","Timor-Leste Red Cross Society","CVTL",,,,"Kinat","TL","Oecusse","Pante Macasar","Costa",-9.27657,124.41551
"Mr.","Mónica ","Soares","Volunteer","monica.soares@yahoo.com","+(670) 7374-2817","Timor-Leste Red Cross Society","CVTL",,,,"Namanei","TL","Baucau","Quelicai","Namanei",-8.52216,126.62974
"Mr.","Augusto","Brites","Volunteer","augusto.brites@hotmail.com","+(670) 5333-5673","Timor-Leste Red Cross Society","CVTL",,,,"Uaiheda","TL","Viqueque","Ossu","Loi-Huno",-8.78452,126.3779
"Ms.","Hermengildo","Rente","Volunteer","hermengildo.rente@hotmail.com","+(670) 4399-6977","Timor-Leste Red Cross Society","CVTL",,,,"Masau Bawah","TL","Dili","Cristo Rei","Becora",-8.55689,125.59728
"Mr.","Goku","Gusmão ","Volunteer","goku.gusmao@hotmail.com","+(670) 3923-3859","Timor-Leste Red Cross Society","CVTL",,,,"Radeuman","TL","Viqueque","Lacluta","Dilor",-8.84151,126.20933
"Mr.","Edi","Freitas","Volunteer","edi.freitas@yahoo.com","+(670) 6401-7520","Timor-Leste Red Cross Society","CVTL",,,,"Uarinana","TL","Baucau","Laga","Tequino Mata",-8.48616,126.59804
"Mr.","Cesar","Da Silva ","Volunteer","cesar.dasilva@yahoo.com","+(670) 6036-9670","Timor-Leste Red Cross Society","CVTL",,,,"Caimalaeho","TL","Baucau","Venilale","Baha Mori",-8.6125,126.42083
"Mr.","Mariano","Soares","Volunteer","mariano.soares@yahoo.com","+(670) 6587-4088","Timor-Leste Red Cross Society","CVTL",,,,"Lailima","TL","Ainaro","Ainaro","Cassa",-9.13619,125.54041
"Ms.","Joaninha","de Jesus","Volunteer","joaninha.dejesus@yahoo.com","+(670) 8697-8134","Timor-Leste Red Cross Society","CVTL",,,,"Aileukota","TL","Aileu","Aileu Vila","Seloi Malere",-8.7231,125.56678
"Mr.","Joao","Bercamns","Volunteer","joao.bercamns@hotmail.com","+(670) 9299-9153","Timor-Leste Red Cross Society","CVTL",,,,"Fatukoan","TL","Covalima","Suai","Debos",-9.34261,125.2027
"Mr.","Leonito","Martins","Volunteer","leonito.martins@gmail.com","+(670) 3540-5611","Timor-Leste Red Cross Society","CVTL",,,,"Terubala","TL","Baucau","Laga","Saelari",-8.49078,126.69527
"Mr.","Natalino","Soares","Volunteer","natalino.soares@hotmail.com","+(670) 9507-1212","Timor-Leste Red Cross Society","CVTL",,,,"Biacau","TL","Bobonaro","Atabae","Aidabaleten",-8.83384,125.05694
"Mr.","Marcos","Matos","Volunteer","marcos.matos@yahoo.com","+(670) 3030-4106","Timor-Leste Red Cross Society","CVTL",,,,"Lasula","TL","Baucau","Laga","Sagadati",-8.51944,126.69167
"Mr.","Domingos","Cune","Volunteer","domingos.cune@hotmail.com","+(670) 5587-8854","Timor-Leste Red Cross Society","CVTL",,,,"Lasuleten","TL","Bobonaro","Balibo","Balibo Vila",-8.95139,125.07222
"Mr.","Alcino","Martins","Volunteer","alcino.martins@yahoo.com","+(670) 3569-5033","Timor-Leste Red Cross Society","CVTL",,,,"Maroman","TL","Viqueque","Viqueque","Uma Quic",-8.88099,126.36782
"Ms.","Adriana","Gohan","Volunteer","adriana.gohan@hotmail.com","+(670) 8633-4868","Timor-Leste Red Cross Society","CVTL",,,,"Bualale","TL","Viqueque","Uatucarbau","Loi Ulu",-8.68001,126.69952
"Ms.","Joao","Nunes","Volunteer","joao.nunes@hotmail.com","+(670) 4147-9331","Timor-Leste Red Cross Society","CVTL",,,,"Anon","TL","Bobonaro","Lolotoe","Lupal",-9.17928,125.34103
"Mr.","Antonio","da Costa","Volunteer","antonio.dacosta@hotmail.com","+(670) 7393-7764","Timor-Leste Red Cross Society","CVTL",,,,"Bualale","TL","Baucau","Quelicai","Bualale",-8.64342,126.54283
"Mr.","Liliana","Soares","Volunteer","liliana.soares@hotmail.com","+(670) 4344-6519","Timor-Leste Red Cross Society","CVTL",,,,"Hautbititalau","TL","Aileu","Liquidoe","Namoleso",-8.72248,125.65755
"Mr.","Agusto","Noel Sila","Volunteer","agusto.noelsila@gmail.com","+(670) 1586-9959","Timor-Leste Red Cross Society","CVTL",,,,"Folete","TL","Bobonaro","Cailaco","Raiheu",-8.96896,125.30509
"Ms.","Joao","Baptista","Volunteer","joao.baptista@gmail.com","+(670) 2288-5217","Timor-Leste Red Cross Society","CVTL",,,,"Analulo","TL","Baucau","Baucau","Bahu",-8.46185,126.44774
"Mr.","Adelino","Caldeira","Volunteer","adelino.caldeira@gmail.com","+(670) 1762-9539","Timor-Leste Red Cross Society","CVTL",,,,"Fiuren","TL","Bobonaro","Balibo","Balibo Vila",-8.95426,125.07879
"Mr.","Clementino","Amaral ","Volunteer","clementino.amaral@gmail.com","+(670) 6826-8382","Timor-Leste Red Cross Society","CVTL",,,,"Kaisera","TL","Ainaro","Hatu-Udo","Foho-ai-Lico",-9.09678,125.68567
"Ms.","Soraia","Macedo","Volunteer","soraia.macedo@hotmail.com","+(670) 2184-2374","Timor-Leste Red Cross Society","CVTL",,,,"Lebui","TL","Liquiçá","Liquiçá","Darulete",-8.65922,125.35605
"Ms.","Marcelo","Otilia","Volunteer","marcelo.otilia@gmail.com","+(670) 1844-3774","Timor-Leste Red Cross Society","CVTL",,,,"Paslete","TL","Bobonaro","Cailaco","Atudara",-8.86579,125.22788
"Mr.","Dinis","Botelheiro","Volunteer","dinis.botelheiro@hotmail.com","+(670) 6926-2187","Timor-Leste Red Cross Society","CVTL",,,,"Genulete","TL","Ermera","Atsabe","Atadame/Malabe",-8.93468,125.393
"Mr.","Agusto","Noel Sila","Volunteer","agusto.noelsila@hotmail.com","+(670) 3210-4957","Timor-Leste Red Cross Society","CVTL",,,,"Malushum","TL","Manatuto","Soibada","Leo Hat",-8.86528,125.94535
"Mr.","Mónica ","Soares","Volunteer","monica.soares@yahoo.com","+(670) 2875-2836","Timor-Leste Red Cross Society","CVTL",,,,"Leotelo","TL","Ainaro","Hatu-Builico","Mau-Chiga",-8.96614,125.53884
"Mr.","Juvenal","Barreto","Volunteer","juvenal.barreto@yahoo.com","+(670) 4197-8738","Timor-Leste Red Cross Society","CVTL",,,,"Kuef","TL","Oecusse","Passabe","Abani",-9.47083,124.32361
"Mr.","Joao","Nunes","Volunteer","joao.nunes@gmail.com","+(670) 5965-2576","Timor-Leste Red Cross Society","CVTL",,,,"Beloi","TL","Dili","Atauro","Beloi",-8.22062,125.60435
"Mr.","Felix","Salsinha Barreto","Volunteer","felix.salsinhabarreto@hotmail.com","+(670) 7996-3845","Timor-Leste Red Cross Society","CVTL",,,,"Kotafoun","TL","Covalima","Tilomar","Lalawa",-9.34349,125.11847
"Mr.","Marcus","Quefi","Volunteer","marcus.quefi@gmail.com","+(670) 9989-7530","Timor-Leste Red Cross Society","CVTL",,,,"Caraubalo","TL","Viqueque","Viqueque","Caraubalo",-8.85898,126.36353
"Mr.","Emilio","dos Santos","Volunteer","emilio.dossantos@hotmail.com","+(670) 1270-2394","Timor-Leste Red Cross Society","CVTL",,,,"Lasula","TL","Baucau","Laga","Sagadati",-8.51944,126.69167
"Ms.","Maria","Idalina","Volunteer","maria.idalina@gmail.com","+(670) 1217-7438","Timor-Leste Red Cross Society","CVTL",,,,"Fatukledun","TL","Covalima","Fohorem","Dato Rua",-9.26499,125.05767
"Ms.","Vanessa","Mondego","Volunteer","vanessa.mondego@yahoo.com","+(670) 9459-5844","Timor-Leste Red Cross Society","CVTL",,,,"Rihiu","TL","Liquiçá","Bazartete","Tibar",-8.62042,125.47551
"Ms.","Agapito","da Silva","Volunteer","agapito.dasilva@yahoo.com","+(670) 3321-6761","Timor-Leste Red Cross Society","CVTL",,,,"Caibolale","TL","Baucau","Baucau","Trilolo",-8.44518,126.35831
"Mr.","Joaninha","Xavier","Volunteer","joaninha.xavier@yahoo.com","+(670) 2358-9467","Timor-Leste Red Cross Society","CVTL",,,,"Dorema","TL","Ermera","Railaco","Railaco Leten",-8.68942,125.50185
"Mr.","Maria","Cromos","Volunteer","maria.cromos@gmail.com","+(670) 5704-7510","Timor-Leste Red Cross Society","CVTL",,,,"Leododok","TL","Manatuto","Laclo","Lacumesac",-8.55301,125.90492
"Ms.","Fernanda","Maia","Volunteer","fernanda.maia@yahoo.com","+(670) 4300-8178","Timor-Leste Red Cross Society","CVTL",,,,"Raimaso","TL","Aileu","Aileu Vila","Suco Liurai",-8.77438,125.51814
"Mr.","Erculano","da Cunha","Volunteer","erculano.dacunha@gmail.com","+(670) 2553-4164","Timor-Leste Red Cross Society","CVTL",,,,"Nunafa","TL","Oecusse","Nitibe","Banafi",-9.39583,124.30833
"Mr.","Diana","Moniz","Volunteer","diana.moniz@hotmail.com","+(670) 7892-6258","Timor-Leste Red Cross Society","CVTL",,,,"Radeuman","TL","Viqueque","Lacluta","Dilor",-8.84151,126.20933
"Ms.","Beatriz","Zacarias","Volunteer","beatriz.zacarias@hotmail.com","+(670) 9225-1788","Timor-Leste Red Cross Society","CVTL",,,,"Lospalos","TL","Lautem","Lospalos","Fuiloro",-8.51994,126.99433
"Mr.","Joana","Da Costa","Volunteer","joana.dacosta@yahoo.com","+(670) 8373-4068","Timor-Leste Red Cross Society","CVTL",,,,"Alecou Lama","TL","Bobonaro","Maliana","Ritabou",-8.91762,125.15326
"Mr.","Clementino","Amaral ","Volunteer","clementino.amaral@hotmail.com","+(670) 8543-9837","Timor-Leste Red Cross Society","CVTL",,,,"Loegolo","TL","Covalima","Zumalai","Fatuleto",-9.11775,125.41871
"Mr.","Kevin","Polido","Volunteer","kevin.polido@yahoo.com","+(670) 4604-6634","Timor-Leste Red Cross Society","CVTL",,,,"Beheda","TL","Manatuto","Laclo","Umacaduac",-8.49429,125.95224
"Mr.","Alexandra","Botelheiro","Volunteer","alexandra.botelheiro@yahoo.com","+(670) 4436-9695","Timor-Leste Red Cross Society","CVTL",,,,"Baura","TL","Liquiçá","Bazartete","Leorema",-8.65378,125.37199
"Ms.","Apolinario","da Silva","Volunteer","apolinario.dasilva@hotmail.com","+(670) 1003-8299","Timor-Leste Red Cross Society","CVTL",,,,"Auraba","TL","Baucau","Laga","Sagadati",-8.51846,126.70568
