First Name,Last Name,Email,Password,Role,Organisation,Facility Type,Office,Language
Incident,Editor,irs_editor@example.com,eden,"reader/0,irs_editor/0",International Federation of Red Cross and Red Crescent Societies,,,
Incident,Super Editor,irs_super@example.com,eden,"reader/0,irs_super/0",International Federation of Red Cross and Red Crescent Societies,,,
Members,Reader,member_reader@example.com,eden,"reader/0,member_reader/0",International Federation of Red Cross and Red Crescent Societies,,,
Members,Data Entry,member_data_entry@example.com,eden,"reader/0,member_data_entry/0",International Federation of Red Cross and Red Crescent Societies,,,
Members,Editor,member_editor@example.com,eden,"reader/0,member_editor/0",International Federation of Red Cross and Red Crescent Societies,,,
Members,Super Editor,member_super@example.com,eden,"reader/0,member_super/0",International Federation of Red Cross and Red Crescent Societies,,,
Org,Admin,org_admin@example.com,eden,"reader/0,ORG_ADMIN/0",International Federation of Red Cross and Red Crescent Societies,,,
Project,Reader,project_reader@example.com,eden,"reader/0,project_reader/0",International Federation of Red Cross and Red Crescent Societies,,,
Project,Data Entry,project_data_entry@example.com,eden,"reader/0,project_data_entry/0",International Federation of Red Cross and Red Crescent Societies,,,
Project,Editor,project_editor@example.com,eden,"reader/0,project_editor/0",International Federation of Red Cross and Red Crescent Societies,,,
Project,Super Editor,project_super@example.com,eden,"reader/0,project_super/0",International Federation of Red Cross and Red Crescent Societies,,,
Staff,Reader,staff_reader@example.com,eden,"reader/0,staff_reader/0",International Federation of Red Cross and Red Crescent Societies,,,
Staff,Data Entry,staff_data_entry@example.com,eden,"reader/0,staff_data_entry/0",International Federation of Red Cross and Red Crescent Societies,,,
Staff,Editor,staff_editor@example.com,eden,"reader/0,staff_editor/0",International Federation of Red Cross and Red Crescent Societies,,,
Staff,Super Editor,staff_super@example.com,eden,"reader/0,staff_super/0",International Federation of Red Cross and Red Crescent Societies,,,
Assessment,Reader,survey_reader@example.com,eden,"reader/0,survey_reader/0",International Federation of Red Cross and Red Crescent Societies,,,
Assessment,Data Entry,survey_data_entry@example.com,eden,"reader/0,survey_data_entry/0",International Federation of Red Cross and Red Crescent Societies,,,
Assessment,Editor,survey_editor@example.com,eden,"reader/0,survey_editor/0",International Federation of Red Cross and Red Crescent Societies,,,
Assessment,Super Editor,survey_super@example.com,eden,"reader/0,survey_super/0",International Federation of Red Cross and Red Crescent Societies,,,
Volunteer,Reader,vol_reader@example.com,eden,"reader/0,vol_reader/0",International Federation of Red Cross and Red Crescent Societies,,,
Volunteer,Data Entry,vol_data_entry@example.com,eden,"reader/0,vol_data_entry/0",International Federation of Red Cross and Red Crescent Societies,,,
Volunteer,Editor,vol_editor@example.com,eden,"reader/0,vol_editor/0",International Federation of Red Cross and Red Crescent Societies,,,
Volunteer,Super Editor,vol_super@example.com,eden,"reader/0,vol_super/0",International Federation of Red Cross and Red Crescent Societies,,,
Vulnerability,Reader,vul_reader@example.com,eden,"reader/0,vulnerability_reader/0",International Federation of Red Cross and Red Crescent Societies,,,
Vulnerability,Data Entry,vul_data_entry@example.com,eden,"reader/0,vulnerability_data_entry/0",International Federation of Red Cross and Red Crescent Societies,,,
Vulnerability,Editor,vul_editor@example.com,eden,"reader/0,vulnerability_editor/0",International Federation of Red Cross and Red Crescent Societies,,,
Vulnerability,Super Editor,vul_super@example.com,eden,"reader/0,vulnerability_super/0",International Federation of Red Cross and Red Crescent Societies,,,
Afghanistan,Disaster Management,af_dm@example.com,eden,af_dm,Afghan Red Crescent Society,,,prs
Afghanistan,Volunteer Administrator,af_vol_admin@example.com,eden,af_volunteer_admin,Afghan Red Crescent Society,,,prs
Afghanistan,Volunteer Manager,af_vol_manager@example.com,eden,af_volunteer_manager,Afghan Red Crescent Society,,,prs
Bangladesh,Volunteer Data Entry,bd_dataentry@example.com,eden,vol_data_entry,Bangladesh Red Crescent Society,,,
Bangladesh,Volunteer Editor,bd_editor@example.com,eden,vol_editor,Bangladesh Red Crescent Society,,,
Bangladesh,Volunteer Super Editor,bd_super@example.com,eden,vol_super,Bangladesh Red Crescent Society,,,
Cambodia,Volunteer Data Entry,kh_dataentry@example.com,eden,vol_data_entry,Cambodian Red Cross Society,,,km
Cambodia,Volunteer Editor,kh_editor@example.com,eden,vol_editor,Cambodian Red Cross Society,,,km
Cambodia,Volunteer Super Editor,kh_super@example.com,eden,vol_super,Cambodian Red Cross Society,,,km
Fiji,Volunteer Super Editor,fj_super@example.com,eden,"vol_super",Fiji Red Cross Society,,,
Fiji,Volunteer Editor,fj_editor@example.com,eden,"vol_editor,SYNC/org_organisation.name=Fiji Red Cross Society",Ba Branch,,,
Indonesia,Volunteer Data Entry,id_dataentry@example.com,eden,vol_data_entry,Indonesian Red Cross Society (Palang Merah Indonesia),,,
Indonesia,Volunteer Editor,id_editor@example.com,eden,vol_editor,Indonesian Red Cross Society (Palang Merah Indonesia),,,
Indonesia,Volunteer Super Editor,id_super@example.com,eden,vol_super,Indonesian Red Cross Society (Palang Merah Indonesia),,,
Iraq,Volunteer Super Editor,iq_super@example.com,eden,vol_super,Iraqi Red Crescent Society,,,ar
Iraq,Org Admin,iq_orgadmin@example.com,eden,ORG_ADMIN,Iraqi Red Crescent Society,,,ar
Madagascar,Project Super Editor,mg_project_super@example.com,eden,project_super,Malagasy Red Cross Society,,,fr
Madagascar,Volunteer Data Entry,mg_vol_dataentry@example.com,eden,"vol_data_entry,member_data_entry",Malagasy Red Cross Society,,,mg
Madagascar,Volunteer Editor,mg_vol_editor@example.com,eden,"vol_editor,member_editor",Malagasy Red Cross Society,,,fr
Madagascar,Volunteer Super Editor,mg_vol_super@example.com,eden,"vol_super,member_super",Malagasy Red Cross Society,,,fr
Malaysia,Volunteer Data Entry,my_dataentry@example.com,eden,vol_data_entry,Malaysian Red Crescent Society,,,
Malaysia,Volunteer Editor,my_editor@example.com,eden,vol_editor,Malaysian Red Crescent Society,,,
Malaysia,Volunteer Super Editor,my_super@example.com,eden,vol_super,Malaysian Red Crescent Society,,,
Maldives,Volunteer Data Entry,mv_dataentry@example.com,eden,vol_data_entry,Maldivian Red Crescent,,,
Maldives,Volunteer Editor,mv_editor@example.com,eden,vol_editor,Maldivian Red Crescent,,,
Maldives,Volunteer Super Editor,mv_super@example.com,eden,vol_super,Maldivian Red Crescent,,,
Mongolia,Volunteer Data Entry,mn_dataentry@example.com,eden,vol_data_entry,Mongolian Red Cross Society,,,
Mongolia,Volunteer Editor,mn_editor@example.com,eden,vol_editor,Mongolian Red Cross Society,,,
Mongolia,Volunteer Super Editor,mn_super@example.com,eden,vol_super,Mongolian Red Cross Society,,,
Myanmar,Volunteer Data Entry,mm_dataentry@example.com,eden,vol_data_entry,Myanmar Red Cross Society,,,
Myanmar,Volunteer Editor,mm_editor@example.com,eden,vol_editor,Myanmar Red Cross Society,,,
Myanmar,Volunteer Super Editor,mm_super@example.com,eden,vol_super,Myanmar Red Cross Society,,,
Nepal,Member Super Editor,np_member_super@example.com,eden,member_super,Nepal Red Cross Society,,,ne
Nepal,Volunteer Data Entry,np_dataentry@example.com,eden,vol_data_entry,Nepal Red Cross Society,,,ne
Nepal,Volunteer Editor,np_editor@example.com,eden,vol_editor,Nepal Red Cross Society,,,ne
Nepal,Volunteer Super Editor,np_super@example.com,eden,vol_super,Nepal Red Cross Society,,,ne
Nepal,Warehouse Super Editor,np_inv_super@example.com,eden,inv_super,Nepal Red Cross Society,,,ne
Philippines,Volunteer Data Entry,ph_dataentry@example.com,eden,vol_data_entry,Philippine Red Cross,,,
Philippines,Volunteer Editor,ph_editor@example.com,eden,vol_editor,Philippine Red Cross,,,
Philippines,Volunteer Super Editor,ph_super@example.com,eden,vol_super,Philippine Red Cross,,,
Timor,Volunteer Data Entry,tl_dataentry@example.com,eden,vol_data_entry,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,,
Timor,Volunteer Editor,tl_editor@example.com,eden,vol_editor,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,,
Timor,Volunteer Super Editor,tl_super@example.com,eden,vol_super,Timor-Leste Red Cross Society (Cruz Vermelha de Timor-Leste),,,
Vietnam,Volunteer Data Entry,vn_dataentry@example.com,eden,vol_data_entry,Viet Nam Red Cross,,,vi
Vietnam,Volunteer Editor,vn_editor@example.com,eden,vol_editor,Viet Nam Red Cross,,,vi
Vietnam,Volunteer Super Editor,vn_super@example.com,eden,vol_super,Viet Nam Red Cross,,,vi
Vietnam,Org Admin,vn_orgadmin@example.com,eden,ORG_ADMIN,Viet Nam Red Cross,,,vi
NZ,Org Admin,nz_admin@example.com,eden,"ORG_ADMIN/org_organisation.name=New Zealand Red Cross",New Zealand Red Cross,,,
Christchurch,Outreach Admin,christchurch_admin@example.com,eden,"PO_AGENCIES/org_organisation.name=New Zealand Red Cross,PO_ADMIN/po_area.name=Christchurch wide,PO_ADMIN/po_area.name=Sumner A,PO_ADMIN/po_area.name=Woolston A,PO_ADMIN/po_area.name=Woolston B",New Zealand Red Cross,,,
Kaikoura,Outreach Admin,kaikoura_admin@example.com,eden,"PO_AGENCIES/org_organisation.name=New Zealand Red Cross,PO_ADMIN/po_area.name=Kaikoura",Kaikoura,,,
RDRT,Admin,rdrtadmin@example.com,eden,"RDRT_ADMIN/0",Africa Zone,,,
RDRT,Regional,rdrtregional@example.com,eden,"RDRT_REGIONAL/0",Africa Zone,,,
AP,RDRT Admin,aprdrtadmin@example.com,eden,"RDRT_ADMIN/0,AP_RDRT_ADMIN/0,message_editor",Asia-Pacific Region,,,
Lillian,Aquino,lillian.acquino@redcross.org.ph,eden,RDRT_MEMBER,Philippine Red Cross,,,
