Course,Organisation,Facility,Start,End,Hours,Sex,First Name,Last Name,Email
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/02/12,3/02/12,24,Ms.,Deedra,Conrad,deedra.conrad@foodbanknyc.org
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/02/12,3/02/12,24,Mr.,Danilo,Newton,danilo.newton@teamrubiconusa.org
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/02/12,3/02/12,24,Mr.,Hugh,Goodman,hugh.goodman@goodwill.org
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/02/12,3/02/12,24,Ms.,Mirna,Avila,mirna.avila@yahoo.com
Shelter Operations,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/02/12,16/02/12,16,Mr.,Numbers,Reid,numbers.reid@gmail.com
Shelter Operations,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/02/12,16/02/12,16,Mr.,Darren,Stevenson,darren.stevenson@yahoo.com
Shelter Operations,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/02/12,16/02/12,16,Ms.,Suzan,Pratt,suzan.pratt@gmail.com
Shelter Operations,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/02/12,16/02/12,16,Mr.,Barney,Pierce,barney.pierce@salvationarmy.org
Shelter Operations,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/02/12,16/02/12,16,Mr.,Douglas,Ramsey,douglas.ramsey@yahoo.com
Shelter Operations,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/02/12,16/02/12,16,Mr.,Curt,Houston,curt.houston@yahoo.com
Shelter Operations,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/02/12,16/02/12,16,Mr.,Curt,Houston,curt.houston@yahoo.com
Shelter Operations,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/02/12,16/02/12,16,Mr.,Palmer,Perry,palmer.perry@us.tzuchi.org
Shelter Operations,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/02/12,16/02/12,16,Mr.,Mark,Blake,mark.blake@gmail.com
Shelter Operations,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/02/12,16/02/12,16,Ms.,Stephany,Brooks,stephany.brooks@gmail.com
Shelter Operations,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/02/12,16/02/12,16,Mr.,Derek,Gordon,derek.gordon@worldvision.org
Shelter Operations,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/02/12,16/02/12,16,Ms.,Daisey,Sampson,daisey.sampson@gmail.com
Shelter Operations,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/02/12,16/02/12,16,Ms.,Merrilee,Randolph,merrilee.randolph@safehorizon.org
Shelter Operations,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/02/12,16/02/12,16,Mr.,Josef,Briggs,josef.briggs@yahoo.com
Shelter Operations,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/02/12,16/02/12,16,Ms.,Necole,Conley,necole.conley@gmail.com
Shelter Operations,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/02/12,16/02/12,16,Mr.,Abraham,Christian,abraham.christian@salvationarmy.org
Shelter Operations,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/02/12,16/02/12,16,Ms.,Natasha,Hurley,natasha.hurley@nyredcross.org
Shelter Operations,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/02/12,16/02/12,16,Ms.,Daisey,Sampson,daisey.sampson@gmail.com
Shelter Operations,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/02/12,16/02/12,16,Mr.,Elbert,Richards,elbert.richards@goodwill.org
Shelter Operations,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/02/12,16/02/12,16,Mr.,Benito,Mora,benito.mora@gmail.com
Shelter Simulation,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/03/12,1/03/12,8,Mr.,Palmer,Perry,palmer.perry@us.tzuchi.org
Shelter Simulation,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/03/12,1/03/12,8,Ms.,Bobbi,Orozco,bobbi.orozco@gmail.com
Shelter Simulation,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/03/12,1/03/12,8,Mr.,Lon,Richards,lon.richards@foodbanknyc.org
Shelter Simulation,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/03/12,1/03/12,8,Mr.,Carter,Patterson,carter.patterson@worldvision.org
Shelter Simulation,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/03/12,1/03/12,8,Ms.,Nana,Cummings,nana.cummings@gmail.com
Shelter Simulation,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/03/12,1/03/12,8,Ms.,Azzie,Goodman,azzie.goodman@nyredcross.org
Shelter Simulation,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/03/12,1/03/12,8,Mr.,Willy,Fox,willy.fox@safehorizon.org
Shelter Simulation,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/03/12,1/03/12,8,Mr.,Gus,Lucas,gus.lucas@yahoo.com
Shelter Simulation,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/03/12,1/03/12,8,Mr.,Emmett,Marquez,emmett.marquez@salvationarmy.org
Shelter Simulation,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/03/12,1/03/12,8,Mr.,Matthew,Compton,matthew.compton@teamrubiconusa.org
Shelter Simulation,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/03/12,1/03/12,8,Mr.,#N/A,Stout,#N/A
Shelter Simulation,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/03/12,1/03/12,8,Ms.,Marget,Clarke,marget.clarke@yahoo.com
Shelter Simulation,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/03/12,1/03/12,8,Mr.,Demetrius,Koch,demetrius.koch@us.tzuchi.org
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/03/12,17/03/12,24,Mr.,Jayson,Davila,jayson.davila@yahoo.com
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/03/12,17/03/12,24,Ms.,Suk,Franco,suk.franco@gmail.com
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/03/12,17/03/12,24,Mr.,Douglas,Ramsey,douglas.ramsey@yahoo.com
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/03/12,17/03/12,24,Ms.,Sandy,Herring,sandy.herring@newyorkcares.org
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/03/12,17/03/12,24,Ms.,Tamar,Simmons,tamar.simmons@yahoo.com
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/03/12,17/03/12,24,Ms.,Flor,Macias,flor.macias@worldvision.org
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/03/12,17/03/12,24,Ms.,Marget,Clarke,marget.clarke@yahoo.com
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/03/12,17/03/12,24,Mr.,Gus,Lucas,gus.lucas@yahoo.com
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/03/12,17/03/12,24,Mr.,Derek,Gordon,derek.gordon@worldvision.org
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/03/12,17/03/12,24,Mr.,Derek,Gordon,derek.gordon@worldvision.org
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/03/12,17/03/12,24,Mr.,Brendon,Everett,brendon.everett@worldcares.org
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/03/12,17/03/12,24,Ms.,Ivana,Melton,ivana.melton@yahoo.com
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/03/12,17/03/12,24,Ms.,Stefania,Scott,stefania.scott@goodwill.org
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/03/12,17/03/12,24,Ms.,Dalene,Welch,dalene.welch@yahoo.com
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/03/12,17/03/12,24,Mr.,Monty,Todd,monty.todd@nyredcross.org
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/03/12,17/03/12,24,Mr.,Ulysses,Roy,ulysses.roy@gmail.com
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/03/12,17/03/12,24,Ms.,Mellisa,Cross,mellisa.cross@newyorkcares.org
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/03/12,17/03/12,24,Mr.,Bryan,Frazier,bryan.frazier@yahoo.com
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/03/12,17/03/12,24,Mr.,Brendon,Everett,brendon.everett@worldcares.org
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/03/12,17/03/12,24,Mr.,Randell,Walsh,randell.walsh@gmail.com
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/03/12,17/03/12,24,Ms.,Flor,Macias,flor.macias@worldvision.org
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/03/12,17/03/12,24,Ms.,Sandy,Herring,sandy.herring@newyorkcares.org
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/03/12,17/03/12,24,Ms.,Stefania,Scott,stefania.scott@goodwill.org
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/03/12,17/03/12,24,Mr.,Raymon,Macdonald,raymon.macdonald@worldcares.org
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/03/12,17/03/12,24,Mr.,Tracy,Bradford,tracy.bradford@gmail.com
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/03/12,17/03/12,24,Ms.,Ethel,Bryant,ethel.bryant@goodwill.org
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/03/12,17/03/12,24,Ms.,Sandy,Herring,sandy.herring@newyorkcares.org
Mass Care: An Overview,American Red Cross of Greater New York,American Red Cross Greater New York Office,15/03/12,17/03/12,24,Mr.,Sung,Berry,sung.berry@nyredcross.org
Shelter Operations,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/04/12,2/04/12,16,Mr.,Colton,Byrd,colton.byrd@yahoo.com
Shelter Operations,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/04/12,2/04/12,16,Ms.,Azzie,Goodman,azzie.goodman@nyredcross.org
Shelter Operations,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/04/12,2/04/12,16,Mr.,Luis,Lawson,luis.lawson@gmail.com
Shelter Operations,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/04/12,2/04/12,16,Mr.,Darren,Stevenson,darren.stevenson@yahoo.com
Shelter Operations,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/04/12,2/04/12,16,Ms.,Alesia,Willis,alesia.willis@us.tzuchi.org
Shelter Operations,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/04/12,2/04/12,16,Ms.,Joslyn,Beltran,joslyn.beltran@gmail.com
Shelter Operations,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/04/12,2/04/12,16,Ms.,Ethel,Bryant,ethel.bryant@goodwill.org
Shelter Operations,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/04/12,2/04/12,16,Mr.,Emilio,Grimes,emilio.grimes@safehorizon.org
Shelter Operations,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/04/12,2/04/12,16,Mr.,Pedro,Werner,pedro.werner@worldcares.org
Shelter Operations,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/04/12,2/04/12,16,Mr.,Nelson,Browning,nelson.browning@yahoo.com
Shelter Operations,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/04/12,2/04/12,16,Ms.,Rachal,Williams,rachal.williams@gmail.com
Shelter Operations,American Red Cross of Greater New York,American Red Cross Greater New York Office,1/04/12,2/04/12,16,Mr.,Douglass,Landry,douglass.landry@yahoo.com
